FrameNo, head_x,head_y,head_z,left_shoulder_x,left_shoulder_y,left_shoulder_z,left_elbow_x,left_elbow_y,left_elbow_z,right_shoulder_x,right_shoulder_y,right_shoulder_z,right_elbow_x,right_elbow_y,right_elbow_z,left_hand_x,left_hand_y,left_hand_z,right_hand_x,right_hand_y,right_hand_z,left_hip_x,left_hip_y,left_hip_z,right_hip_x,right_hip_y,right_hip_z,left_knee_x,left_knee_y,left_knee_z,right_knee_x,right_knee_y,right_knee_z,left_foot_x,left_foot_y,left_foot_z,right_foot_x,right_foot_y,right_foot_z
5,-0.015538,0.71822,-0.029845,-0.17604,0.55976,0.009946,-0.27288,0.72961,-0.10057,0.15342,0.54807,-0.008273,0.23488,0.73559,-0.097858,-0.30026,0.93011,-0.18913,0.25447,0.9453,-0.15971,-0.070436,-0.000956,-0.035418,0.074858,0.00136,-0.0366,-0.090905,-0.35257,-0.027631,0.11155,-0.34926,-0.030435,-0.098359,-0.8289,0.019791,0.14752,-0.84477,0.022581
6,-0.014985,0.71865,-0.029277,-0.17538,0.56048,0.008679,-0.27237,0.73052,-0.10131,0.15341,0.54751,-0.008824,0.23514,0.73514,-0.097842,-0.29919,0.90948,-0.18826,0.25528,0.94478,-0.15975,-0.070581,-0.000529,-0.038667,0.075003,0.001126,-0.03752,-0.090813,-0.35197,-0.029363,0.11165,-0.34946,-0.031032,-0.098615,-0.82914,0.019364,0.14746,-0.84466,0.023005
7,-0.014271,0.71915,-0.028812,-0.17511,0.56012,0.008369,-0.27193,0.73041,-0.10148,0.1534,0.54675,-0.009614,0.23583,0.73406,-0.098049,-0.29837,0.90915,-0.18722,0.25689,0.94372,-0.15957,-0.070432,-0.000425,-0.039154,0.074701,0.000886,-0.038764,-0.090962,-0.35181,-0.029583,0.11103,-0.3495,-0.031395,-0.098195,-0.82887,0.019566,0.14738,-0.84691,0.022132
8,-0.013627,0.71976,-0.028344,-0.17472,0.56027,0.007675,-0.27139,0.73089,-0.10166,0.15379,0.54679,-0.010053,0.23639,0.73406,-0.098234,-0.29813,0.90902,-0.18719,0.25803,0.94372,-0.15955,-0.070336,-0.000151,-0.040313,0.074716,0.000915,-0.04006,-0.090939,-0.35147,-0.030241,0.11106,-0.34937,-0.032173,-0.098192,-0.82869,0.019554,0.14738,-0.84692,0.022318
9,-0.013045,0.72029,-0.028031,-0.17434,0.56041,0.006931,-0.27085,0.73128,-0.10202,0.15419,0.54666,-0.010523,0.23703,0.73397,-0.098505,-0.29773,0.90653,-0.18693,0.2591,0.94364,-0.15954,-0.070251,5.8e-05,-0.041576,0.074732,0.000915,-0.041497,-0.090921,-0.35118,-0.030946,0.11107,-0.3493,-0.032992,-0.098086,-0.82859,0.019513,0.14736,-0.84676,0.022221
10,-0.012522,0.72072,-0.027915,-0.17397,0.56056,0.006154,-0.27035,0.73167,-0.10248,0.15436,0.5466,-0.011035,0.23765,0.73391,-0.098803,-0.29723,0.9058,-0.1867,0.26018,0.94359,-0.15959,-0.070182,0.000228,-0.042885,0.074749,0.000915,-0.042984,-0.090898,-0.35094,-0.031727,0.11116,-0.34927,-0.033783,-0.097981,-0.82852,0.01946,0.1474,-0.84673,0.022036
11,-0.012054,0.72112,-0.02791,-0.17365,0.56067,0.005437,-0.2699,0.73199,-0.10291,0.15452,0.54663,-0.011589,0.23832,0.73387,-0.099118,-0.29659,0.90503,-0.18675,0.26123,0.94354,-0.15974,-0.070118,0.000352,-0.043876,0.074732,0.000923,-0.044504,-0.090896,-0.35075,-0.032359,0.11122,-0.34925,-0.034604,-0.097896,-0.8285,0.019405,0.14738,-0.84661,0.021933
12,-0.011677,0.72149,-0.027905,-0.17335,0.56084,0.004628,-0.26943,0.73237,-0.10347,0.15461,0.54663,-0.012207,0.23893,0.7338,-0.099459,-0.29587,0.90433,-0.18675,0.26215,0.9435,-0.15993,-0.070056,0.000386,-0.044906,0.074702,0.000909,-0.046054,-0.090905,-0.35063,-0.033027,0.11118,-0.34925,-0.035502,-0.097809,-0.82834,0.019385,0.14736,-0.84659,0.021805
13,-0.011334,0.7218,-0.027901,-0.17308,0.56097,0.003803,-0.26904,0.73268,-0.10408,0.15471,0.54643,-0.012794,0.23953,0.73345,-0.099855,-0.29518,0.90375,-0.18674,0.26296,0.94317,-0.16017,-0.069999,0.000386,-0.046042,0.074628,0.000832,-0.047521,-0.090895,-0.35063,-0.033807,0.11116,-0.34926,-0.036458,-0.097705,-0.82839,0.019386,0.14733,-0.84659,0.021589
14,-0.011063,0.72198,-0.027905,-0.17283,0.56104,0.002983,-0.26867,0.73291,-0.10471,0.15486,0.54622,-0.013506,0.24017,0.73307,-0.10041,-0.29467,0.90375,-0.18673,0.26373,0.9428,-0.16054,-0.069948,0.000386,-0.047284,0.074531,0.000746,-0.048999,-0.090898,-0.35063,-0.034583,0.11114,-0.34926,-0.037483,-0.097631,-0.82844,0.019416,0.14727,-0.84659,0.021333
15,-0.010814,0.72213,-0.028081,-0.17263,0.56108,0.002159,-0.26835,0.73301,-0.10541,0.15495,0.54604,-0.014199,0.24072,0.73272,-0.10105,-0.29397,0.9033,-0.18675,0.26441,0.94246,-0.16104,-0.069908,0.000386,-0.04848,0.074446,0.00062,-0.050592,-0.090906,-0.35063,-0.035344,0.11115,-0.34927,-0.038517,-0.097552,-0.82845,0.019429,0.14722,-0.84673,0.021152
16,-0.010607,0.72224,-0.02842,-0.17242,0.56108,0.001267,-0.26809,0.73301,-0.10619,0.15504,0.54581,-0.014915,0.24124,0.73234,-0.10179,-0.29331,0.90282,-0.18701,0.26491,0.94207,-0.16177,-0.069883,0.000306,-0.049676,0.074371,0.000439,-0.052239,-0.090919,-0.35065,-0.036199,0.11114,-0.34936,-0.039592,-0.097433,-0.82838,0.01943,0.14715,-0.847,0.021058
17,-0.010408,0.72226,-0.028944,-0.17224,0.56107,0.000327,-0.26782,0.73301,-0.10703,0.15514,0.54556,-0.015615,0.24169,0.73193,-0.10264,-0.29273,0.90239,-0.18847,0.26537,0.94161,-0.1628,-0.069869,0.00017,-0.050925,0.074285,0.000235,-0.053808,-0.090932,-0.35072,-0.037157,0.11114,-0.34947,-0.040683,-0.097367,-0.82825,0.019415,0.14705,-0.84681,0.021061
18,-0.010234,0.72226,-0.02962,-0.17212,0.56107,-0.000717,-0.26767,0.73301,-0.10812,0.15529,0.54545,-0.016303,0.24209,0.73154,-0.10361,-0.29271,0.90239,-0.19,0.26572,0.94121,-0.16403,-0.069834,2.1e-05,-0.052063,0.074218,2e-05,-0.055239,-0.090914,-0.35082,-0.038157,0.11114,-0.3496,-0.041764,-0.097412,-0.82825,0.019414,0.14695,-0.84681,0.020932
19,-0.010121,0.72226,-0.030501,-0.17199,0.56107,-0.001832,-0.26754,0.73298,-0.10941,0.15542,0.54535,-0.017008,0.24236,0.73125,-0.10466,-0.29269,0.90239,-0.19176,0.26595,0.94091,-0.16538,-0.069831,-0.000141,-0.053133,0.07416,-0.000178,-0.056597,-0.090912,-0.35095,-0.039122,0.11113,-0.34976,-0.042866,-0.097483,-0.82837,0.019393,0.14684,-0.84681,0.020811
20,-0.010108,0.72226,-0.031598,-0.17187,0.56103,-0.003064,-0.26748,0.73289,-0.11089,0.15558,0.54525,-0.017763,0.24258,0.73093,-0.10588,-0.29262,0.90469,-0.19395,0.26602,0.9406,-0.16695,-0.069816,-0.000367,-0.054404,0.074112,-0.000389,-0.057837,-0.090877,-0.35114,-0.040205,0.11111,-0.34996,-0.043948,-0.097463,-0.82863,0.019301,0.14673,-0.84685,0.020618
