FrameNo, head_x,head_y,head_z,left_shoulder_x,left_shoulder_y,left_shoulder_z,left_elbow_x,left_elbow_y,left_elbow_z,right_shoulder_x,right_shoulder_y,right_shoulder_z,right_elbow_x,right_elbow_y,right_elbow_z,left_hand_x,left_hand_y,left_hand_z,right_hand_x,right_hand_y,right_hand_z,left_hip_x,left_hip_y,left_hip_z,right_hip_x,right_hip_y,right_hip_z,left_knee_x,left_knee_y,left_knee_z,right_knee_x,right_knee_y,right_knee_z,left_foot_x,left_foot_y,left_foot_z,right_foot_x,right_foot_y,right_foot_z
1,-0.009879,0.71812,0.029067,-0.16123,0.5429,0.000536,-0.25649,0.7574,-0.062027,0.17156,0.52592,-0.010855,0.27617,0.74225,-0.13711,-0.19906,1.0327,-0.11122,0.2215,0.97859,-0.19808,-0.074179,-0.004025,-0.02519,0.087728,0.00057,-0.036632,-0.1316,-0.46703,-0.02009,0.11621,-0.46128,0.028271,-0.17331,-0.82575,0.009765,0.11981,-0.82185,0.070605
2,-0.010774,0.7171,0.027455,-0.16482,0.54866,0.015162,-0.25797,0.75731,-0.053886,0.17225,0.52388,-0.010813,0.27154,0.74,-0.14865,-0.21496,0.97271,-0.10067,0.21392,0.97236,-0.2102,-0.072915,-0.003088,-0.02205,0.088937,0.002602,-0.037941,-0.1307,-0.46445,-0.018557,0.11768,-0.45952,0.025922,-0.17348,-0.82642,0.009721,0.11998,-0.82147,0.070546
3,-0.013085,0.71142,0.025251,-0.16455,0.55102,0.023253,-0.26209,0.73692,-0.023059,0.17421,0.51678,-0.012368,0.26163,0.73672,-0.16567,-0.21947,0.97489,-0.092513,0.19927,0.96594,-0.22869,-0.071122,-0.002832,-0.017917,0.090578,0.003989,-0.03982,-0.12966,-0.46301,-0.015013,0.11947,-0.4579,0.022261,-0.17395,-0.8264,0.010041,0.12071,-0.8197,0.070575
4,-0.013515,0.71048,0.024984,-0.16516,0.55868,0.053773,-0.26149,0.73626,-0.017744,0.17453,0.5139,-0.014034,0.25659,0.73584,-0.17545,-0.22296,0.97461,-0.085818,0.1911,0.96215,-0.23825,-0.069826,-0.002445,-0.01512,0.090533,0.004769,-0.040099,-0.1293,-0.46251,-0.013815,0.1191,-0.45544,0.019616,-0.17387,-0.82732,0.010568,0.12078,-0.8197,0.070562
5,-0.014113,0.7096,0.024565,-0.16711,0.56118,0.058275,-0.26107,0.73848,-0.010837,0.17538,0.49826,-0.035832,0.25219,0.73183,-0.18186,-0.22592,0.97591,-0.077255,0.18447,0.959,-0.24554,-0.067208,-0.001997,-0.009331,0.089364,0.00479,-0.040621,-0.12895,-0.46199,-0.010855,0.11905,-0.45503,0.018602,-0.17412,-0.82655,0.010833,0.12076,-0.81976,0.070538
6,-0.014436,0.7086,0.024412,-0.16619,0.56195,0.060061,-0.26087,0.7404,-0.00337,0.17601,0.49637,-0.03898,0.24763,0.72988,-0.18938,-0.22803,0.97559,-0.07097,0.17896,0.95456,-0.25336,-0.066066,0.000478,-0.004373,0.088728,0.008371,-0.045363,-0.12889,-0.46193,-0.008434,0.11922,-0.454,0.017115,-0.17483,-0.82678,0.010768,0.1209,-0.81973,0.070395
7,-0.013896,0.70858,0.024478,-0.16482,0.56156,0.058739,-0.25921,0.74595,0.001249,0.17591,0.50027,-0.036897,0.24627,0.73325,-0.19281,-0.2258,0.97739,-0.068485,0.17708,0.96261,-0.2575,-0.064796,0.00236,-0.001546,0.088549,0.010312,-0.046173,-0.12847,-0.46166,-0.007551,0.11937,-0.4515,0.015782,-0.17515,-0.82664,0.011216,0.12115,-0.82036,0.069936
8,-0.013896,0.70809,0.024478,-0.1646,0.56312,0.063749,-0.25837,0.74535,0.003494,0.17658,0.49777,-0.040561,0.24568,0.73267,-0.19574,-0.22623,0.97705,-0.066178,0.17677,0.96183,-0.2609,-0.063848,0.002853,0.000612,0.088503,0.011044,-0.046729,-0.12826,-0.46142,-0.006156,0.11959,-0.45091,0.014783,-0.17549,-0.82666,0.011477,0.12128,-0.82013,0.069755
9,-0.013896,0.7077,0.024478,-0.16422,0.56353,0.064885,-0.25786,0.74429,0.003769,0.17727,0.49569,-0.043787,0.2458,0.73202,-0.19639,-0.22636,0.97662,-0.066173,0.17705,0.96103,-0.2625,-0.06315,0.003028,0.002061,0.088336,0.011474,-0.047225,-0.12813,-0.46128,-0.005031,0.11976,-0.45081,0.014118,-0.17579,-0.82668,0.01168,0.1214,-0.81993,0.069571
10,-0.013896,0.7074,0.024478,-0.16392,0.56354,0.065202,-0.25786,0.74309,0.00377,0.17733,0.49569,-0.043778,0.2458,0.73189,-0.19639,-0.22648,0.97662,-0.066194,0.17705,0.96021,-0.2625,-0.06292,0.003028,0.002438,0.088017,0.011742,-0.047601,-0.12808,-0.46118,-0.004474,0.1199,-0.45076,0.013591,-0.17608,-0.82673,0.011834,0.12154,-0.81988,0.069387
11,-0.013766,0.70722,0.024508,-0.16392,0.56354,0.065202,-0.25786,0.74304,0.00377,0.17733,0.49569,-0.043778,0.2458,0.73179,-0.19639,-0.22664,0.97659,-0.066221,0.17705,0.95988,-0.2625,-0.06292,0.003028,0.002438,0.087788,0.011742,-0.047641,-0.12808,-0.46118,-0.00442,0.11995,-0.45076,0.013301,-0.1763,-0.82678,0.011986,0.1216,-0.81987,0.069231
