FrameNo, head_x,head_y,head_z,left_shoulder_x,left_shoulder_y,left_shoulder_z,left_elbow_x,left_elbow_y,left_elbow_z,right_shoulder_x,right_shoulder_y,right_shoulder_z,right_elbow_x,right_elbow_y,right_elbow_z,left_hand_x,left_hand_y,left_hand_z,right_hand_x,right_hand_y,right_hand_z,left_hip_x,left_hip_y,left_hip_z,right_hip_x,right_hip_y,right_hip_z,left_knee_x,left_knee_y,left_knee_z,right_knee_x,right_knee_y,right_knee_z,left_foot_x,left_foot_y,left_foot_z,right_foot_x,right_foot_y,right_foot_z
0,-0.02282,0.73284,0.023507,-0.19408,0.54624,0.0197,-0.31773,0.72623,-0.072105,0.17659,0.55717,0.008649,0.27613,0.74922,-0.090011,-0.32349,1.0047,-0.11579,0.28692,1.005,-0.15283,-0.080422,-0.003511,-0.039336,0.079834,-0.003026,-0.039087,-0.097104,-0.46468,-0.011745,0.11197,-0.4613,-0.019141,-0.10075,-0.84293,0.031692,0.12124,-0.84306,0.02462
1,-0.022495,0.73283,0.023743,-0.19384,0.54558,0.019456,-0.31916,0.72379,-0.073954,0.17658,0.55715,0.008639,0.27606,0.7489,-0.090551,-0.32369,1.0037,-0.1169,0.2851,1.0071,-0.15638,-0.080236,-0.003945,-0.039112,0.08003,-0.00352,-0.037912,-0.096093,-0.46644,-0.011526,0.11261,-0.46194,-0.018945,-0.10077,-0.84253,0.031677,0.12131,-0.84279,0.024251
2,-0.022323,0.73266,0.023667,-0.19374,0.54508,0.019464,-0.31883,0.72292,-0.075232,0.17658,0.55713,0.008633,0.27589,0.74893,-0.090896,-0.32122,0.96224,-0.13038,0.28438,1.0079,-0.15852,-0.080029,-0.004063,-0.039078,0.08041,-0.003667,-0.037517,-0.096179,-0.46632,-0.011513,0.11271,-0.46194,-0.018617,-0.10023,-0.84238,0.031733,0.12133,-0.84285,0.024392
3,-0.022241,0.73257,0.02355,-0.19356,0.54476,0.019288,-0.31907,0.72207,-0.075996,0.17657,0.5571,0.008626,0.27573,0.74896,-0.091191,-0.3212,0.94548,-0.14153,0.28374,1.0079,-0.15929,-0.079934,-0.004223,-0.038977,0.080547,-0.003784,-0.037335,-0.096146,-0.46591,-0.011322,0.11293,-0.46175,-0.018497,-0.10015,-0.84226,0.031647,0.12102,-0.84296,0.024861
4,-0.022189,0.73256,0.023549,-0.19357,0.54467,0.019194,-0.31857,0.72158,-0.07786,0.17657,0.5571,0.008622,0.27545,0.74938,-0.091906,-0.32089,0.94527,-0.14212,0.28308,1.0081,-0.16036,-0.080027,-0.004253,-0.038659,0.080515,-0.00396,-0.037066,-0.095944,-0.46316,-0.011918,0.11295,-0.46168,-0.018431,-0.1002,-0.84227,0.031438,0.12135,-0.84198,0.024498
5,-0.022052,0.73254,0.023495,-0.19195,0.54315,0.017428,-0.3178,0.72013,-0.078104,0.17656,0.5571,0.008616,0.2753,0.74957,-0.092125,-0.32055,0.94378,-0.14258,0.28198,1.0101,-0.16176,-0.079917,-0.004398,-0.038498,0.080564,-0.004068,-0.036852,-0.095865,-0.46347,-0.011681,0.11327,-0.46369,-0.017603,-0.10021,-0.84132,0.031791,0.12172,-0.84229,0.02473
6,-0.021833,0.73266,0.023416,-0.19213,0.54306,0.017301,-0.31775,0.72003,-0.078639,0.17656,0.5571,0.008613,0.2752,0.74983,-0.092342,-0.32042,0.94371,-0.14299,0.28147,1.0103,-0.16231,-0.079885,-0.004551,-0.038242,0.080554,-0.004352,-0.036065,-0.096033,-0.46381,-0.011189,0.11334,-0.46374,-0.017568,-0.10019,-0.84083,0.032019,0.12169,-0.8412,0.024039
7,-0.021617,0.73234,0.023209,-0.19295,0.54332,0.017665,-0.31869,0.71998,-0.078831,0.17616,0.55693,0.008909,0.27518,0.74974,-0.092262,-0.32019,0.9436,-0.14332,0.28163,1.0095,-0.16207,-0.079969,-0.004479,-0.038295,0.080719,-0.004062,-0.035898,-0.096468,-0.46545,-0.010956,0.11317,-0.46255,-0.017854,-0.10034,-0.84222,0.031651,0.1214,-0.84252,0.024844
8,-0.021505,0.73227,0.023142,-0.19293,0.54309,0.017454,-0.31906,0.71941,-0.079312,0.17608,0.55689,0.008952,0.27506,0.74986,-0.092456,-0.31998,0.9431,-0.14359,0.28128,1.0098,-0.16255,-0.07995,-0.004539,-0.03812,0.08075,-0.004119,-0.035603,-0.096466,-0.46563,-0.010824,0.11319,-0.46255,-0.01781,-0.10027,-0.84205,0.031682,0.12142,-0.84262,0.024945
9,-0.021414,0.73221,0.02307,-0.19292,0.54288,0.017266,-0.31929,0.71889,-0.079592,0.17601,0.55685,0.008995,0.27498,0.74999,-0.092582,-0.31981,0.94261,-0.14375,0.28099,1.01,-0.16295,-0.07993,-0.004598,-0.037981,0.080794,-0.004137,-0.035338,-0.096541,-0.46565,-0.010698,0.11321,-0.46247,-0.017758,-0.10022,-0.84194,0.03172,0.12144,-0.84276,0.025096
