FrameNo, head_x,head_y,head_z,left_shoulder_x,left_shoulder_y,left_shoulder_z,left_elbow_x,left_elbow_y,left_elbow_z,right_shoulder_x,right_shoulder_y,right_shoulder_z,right_elbow_x,right_elbow_y,right_elbow_z,left_hand_x,left_hand_y,left_hand_z,right_hand_x,right_hand_y,right_hand_z,left_hip_x,left_hip_y,left_hip_z,right_hip_x,right_hip_y,right_hip_z,left_knee_x,left_knee_y,left_knee_z,right_knee_x,right_knee_y,right_knee_z,left_foot_x,left_foot_y,left_foot_z,right_foot_x,right_foot_y,right_foot_z
6,0.008653,0.71234,0.013454,-0.14211,0.49533,0.019938,-0.24402,0.7384,0.001854,0.15941,0.48052,0.01281,0.2331,0.73414,-0.005444,-0.3004,0.99131,-0.008691,0.28111,0.97572,-0.025182,-0.068693,-0.000641,-0.035435,0.073469,0.000644,-0.038236,-0.11893,-0.36458,-0.052304,0.12604,-0.36658,-0.036981,-0.12589,-0.73269,-0.02335,0.15498,-0.70694,-0.015192
7,0.00834,0.71219,0.013493,-0.14202,0.49539,0.020291,-0.24313,0.73855,0.002347,0.15921,0.4804,0.012829,0.23308,0.73403,-0.00626,-0.2984,0.99245,-0.007694,0.28054,0.97502,-0.026706,-0.068779,-0.000655,-0.0351,0.073443,0.000512,-0.038339,-0.11889,-0.36461,-0.051952,0.12611,-0.36683,-0.036874,-0.12572,-0.73289,-0.023112,0.15546,-0.70572,-0.014706
8,0.008049,0.71219,0.013485,-0.14183,0.49539,0.020356,-0.24243,0.73855,0.003086,0.15921,0.4804,0.012829,0.23304,0.73403,-0.006173,-0.29733,0.99245,-0.00641,0.28054,0.97481,-0.02685,-0.068765,-0.000655,-0.034994,0.073477,0.000512,-0.038386,-0.11885,-0.36461,-0.051942,0.1262,-0.36683,-0.036804,-0.12572,-0.73289,-0.023163,0.15561,-0.70572,-0.01477
9,0.007765,0.71219,0.013493,-0.14163,0.49539,0.020563,-0.24181,0.73855,0.003758,0.15903,0.48024,0.012824,0.23304,0.73389,-0.006173,-0.29617,0.99214,-0.005247,0.28057,0.97393,-0.027416,-0.06876,-0.000655,-0.034803,0.073511,0.000512,-0.038428,-0.11879,-0.36461,-0.051912,0.12629,-0.36684,-0.036754,-0.12572,-0.73292,-0.023239,0.15578,-0.70585,-0.014835
10,0.007309,0.71181,0.013619,-0.14151,0.49508,0.02103,-0.24127,0.73851,0.004517,0.1589,0.4798,0.012861,0.23308,0.73337,-0.006197,-0.29505,0.99254,-0.004315,0.28066,0.97296,-0.028141,-0.068753,-0.001072,-0.03453,0.073546,0.000128,-0.038487,-0.11862,-0.36511,-0.05185,0.12648,-0.36702,-0.036724,-0.12553,-0.73358,-0.023344,0.15615,-0.70608,-0.014886
11,0.006847,0.7114,0.013737,-0.1414,0.49476,0.021511,-0.24073,0.73846,0.005188,0.15877,0.47932,0.012899,0.23313,0.73284,-0.006287,-0.29398,0.99301,-0.003705,0.28076,0.97203,-0.029009,-0.068746,-0.001504,-0.034248,0.073581,-0.000275,-0.038545,-0.11844,-0.36558,-0.051755,0.12668,-0.36726,-0.036704,-0.12535,-0.73424,-0.02345,0.15653,-0.70646,-0.014948
12,0.006439,0.71091,0.013818,-0.14133,0.49444,0.021995,-0.24029,0.73838,0.005721,0.15866,0.47878,0.012939,0.23318,0.73223,-0.006511,-0.29285,0.99351,-0.00351,0.28087,0.97105,-0.029864,-0.068737,-0.00195,-0.033909,0.073617,-0.000706,-0.0386,-0.11824,-0.36609,-0.051715,0.12689,-0.36752,-0.036699,-0.12516,-0.73492,-0.023569,0.15679,-0.70684,-0.015018
13,0.006019,0.71036,0.013948,-0.14127,0.49409,0.022482,-0.23985,0.73828,0.006111,0.15854,0.47819,0.013014,0.23326,0.73158,-0.006793,-0.29172,0.99401,-0.00348,0.28098,0.96989,-0.030982,-0.068715,-0.002414,-0.033567,0.073671,-0.001155,-0.038654,-0.11803,-0.36661,-0.051687,0.12711,-0.36784,-0.036693,-0.12492,-0.73564,-0.023693,0.15709,-0.7072,-0.015106
14,0.00561,0.7098,0.014071,-0.14122,0.49372,0.022941,-0.23952,0.73814,0.006364,0.15845,0.47759,0.013091,0.23337,0.7309,-0.00712,-0.29069,0.99444,-0.003452,0.28107,0.96881,-0.032067,-0.068686,-0.002871,-0.033224,0.073728,-0.001618,-0.0387,-0.11782,-0.36715,-0.051653,0.12732,-0.36814,-0.036687,-0.12466,-0.73636,-0.023793,0.15739,-0.70746,-0.015176
15,0.005249,0.70923,0.014094,-0.14116,0.4933,0.023395,-0.23921,0.73795,0.006373,0.15837,0.47698,0.013167,0.23353,0.7302,-0.007509,-0.28978,0.99471,-0.003428,0.28112,0.96759,-0.033253,-0.068648,-0.003345,-0.03289,0.073776,-0.002099,-0.038711,-0.11759,-0.3677,-0.051647,0.12755,-0.36841,-0.036696,-0.12439,-0.73707,-0.023915,0.15767,-0.70806,-0.015342
16,0.004917,0.70868,0.014076,-0.14111,0.49286,0.023826,-0.23894,0.73774,0.00638,0.15832,0.47636,0.013233,0.23374,0.72948,-0.007945,-0.28897,0.99492,-0.003526,0.28126,0.96637,-0.034709,-0.068611,-0.003833,-0.032563,0.073825,-0.002578,-0.038735,-0.11735,-0.36827,-0.05164,0.1278,-0.36869,-0.036766,-0.1241,-0.73779,-0.024062,0.15796,-0.70869,-0.015501
17,0.00472,0.70871,0.014068,-0.14106,0.4929,0.024011,-0.23869,0.73781,0.006387,0.15833,0.47634,0.013225,0.23405,0.72913,-0.008485,-0.2882,0.99515,-0.003809,0.28158,0.96594,-0.036053,-0.068552,-0.003823,-0.032295,0.073888,-0.002558,-0.038761,-0.1171,-0.36826,-0.051636,0.12806,-0.36857,-0.036907,-0.12384,-0.73789,-0.024108,0.15812,-0.70914,-0.015676
18,0.004582,0.70874,0.014056,-0.141,0.49292,0.024135,-0.23841,0.73787,0.006294,0.15833,0.47631,0.013218,0.23466,0.72875,-0.009374,-0.28743,0.99459,-0.004649,0.28218,0.96571,-0.037792,-0.068483,-0.003815,-0.032072,0.073955,-0.002534,-0.03879,-0.11683,-0.36826,-0.051712,0.12835,-0.36855,-0.037483,-0.12357,-0.73804,-0.024149,0.15822,-0.70985,-0.015913
19,0.004584,0.70877,0.014006,-0.14096,0.49296,0.024137,-0.2381,0.73794,0.005977,0.15834,0.47629,0.013096,0.2354,0.72865,-0.010388,-0.28665,0.99382,-0.006074,0.28311,0.96531,-0.040133,-0.068407,-0.003776,-0.03195,0.074028,-0.002469,-0.038835,-0.11665,-0.36825,-0.051943,0.12855,-0.3687,-0.038374,-0.1235,-0.7381,-0.024148,0.15823,-0.71018,-0.016187
20,0.004594,0.70887,0.013631,-0.14088,0.49316,0.024139,-0.23776,0.73827,0.00522,0.15835,0.47627,0.012948,0.23636,0.72856,-0.011851,-0.2857,0.99303,-0.008119,0.28453,0.96482,-0.04318,-0.068317,-0.00361,-0.031848,0.07416,-0.002307,-0.038891,-0.11644,-0.36849,-0.052194,0.12874,-0.36892,-0.039478,-0.12341,-0.73814,-0.024162,0.15824,-0.7104,-0.01648
21,0.004606,0.70901,0.013175,-0.14083,0.49333,0.02414,-0.23736,0.73857,0.004234,0.15867,0.47622,0.012917,0.23734,0.7284,-0.013425,-0.28475,0.99208,-0.011078,0.28619,0.96413,-0.046501,-0.068222,-0.003478,-0.031836,0.074288,-0.002205,-0.038907,-0.11623,-0.36905,-0.052539,0.12892,-0.36903,-0.04083,-0.12331,-0.73826,-0.024248,0.15825,-0.71073,-0.016916
22,0.004731,0.70983,0.012333,-0.14075,0.49413,0.023988,-0.23702,0.73946,0.002788,0.15869,0.47649,0.01263,0.23849,0.7284,-0.015176,-0.28392,0.99191,-0.014355,0.28809,0.96345,-0.050003,-0.068133,-0.002761,-0.031833,0.074407,-0.001525,-0.038985,-0.11597,-0.36906,-0.053002,0.1291,-0.36903,-0.042495,-0.12323,-0.73795,-0.0243,0.15812,-0.71104,-0.017422
23,0.004889,0.71049,0.011413,-0.14068,0.49496,0.02379,-0.23678,0.74031,0.001134,0.15879,0.47683,0.012313,0.23963,0.72846,-0.017024,-0.28309,0.99146,-0.017805,0.29005,0.96257,-0.053791,-0.068041,-0.00211,-0.031831,0.074537,-0.000918,-0.039061,-0.11562,-0.36908,-0.053738,0.1293,-0.36903,-0.044417,-0.12314,-0.73771,-0.024368,0.15794,-0.7115,-0.018064
24,0.005071,0.71096,0.010214,-0.14061,0.49579,0.023531,-0.23663,0.74102,-0.001009,0.15897,0.47727,0.011914,0.24082,0.72852,-0.019133,-0.28219,0.99063,-0.021852,0.29202,0.96111,-0.05791,-0.067938,-0.001558,-0.031828,0.074681,-0.00042,-0.039155,-0.11512,-0.36914,-0.054985,0.12955,-0.36903,-0.04692,-0.12301,-0.73755,-0.024547,0.15778,-0.71214,-0.018904
25,0.005294,0.71113,0.008719,-0.14057,0.49656,0.02319,-0.23656,0.74159,-0.003497,0.1592,0.4779,0.011065,0.24223,0.72847,-0.021626,-0.28128,0.98847,-0.026372,0.29379,0.95932,-0.062057,-0.067783,-0.0012,-0.031889,0.074887,-0.00015,-0.039181,-0.11452,-0.36937,-0.056782,0.12987,-0.36905,-0.049857,-0.12282,-0.73741,-0.024908,0.15762,-0.71286,-0.019854
26,0.005524,0.71113,0.006815,-0.14055,0.49689,0.0228,-0.23648,0.74159,-0.006485,0.15943,0.47813,0.010182,0.24363,0.72837,-0.024359,-0.28025,0.98622,-0.031582,0.29541,0.95753,-0.066339,-0.067619,-0.0012,-0.031901,0.07511,-0.00015,-0.039172,-0.11378,-0.36999,-0.059409,0.13036,-0.36968,-0.053426,-0.12254,-0.73742,-0.025567,0.15766,-0.71367,-0.021021
27,0.005706,0.71113,0.004661,-0.14052,0.49699,0.022315,-0.23639,0.74159,-0.009853,0.15965,0.47808,0.009289,0.24482,0.72817,-0.027227,-0.27932,0.98385,-0.037063,0.29681,0.95524,-0.071003,-0.067437,-0.0012,-0.031862,0.075365,-0.00015,-0.039165,-0.1132,-0.37085,-0.062684,0.13092,-0.37083,-0.056995,-0.12222,-0.73747,-0.02659,0.15773,-0.71459,-0.022329
28,0.005846,0.71113,0.002243,-0.14051,0.49699,0.021715,-0.23629,0.74159,-0.01356,0.15989,0.47803,0.008329,0.24598,0.72796,-0.03028,-0.27841,0.98103,-0.042725,0.29789,0.95281,-0.075516,-0.067196,-0.0012,-0.031827,0.075665,-0.00015,-0.039153,-0.11298,-0.37295,-0.066718,0.13159,-0.372,-0.060799,-0.12188,-0.7375,-0.027881,0.15775,-0.71562,-0.023762
29,0.005999,0.71037,-0.000458,-0.14044,0.49699,0.02103,-0.23596,0.74158,-0.017854,0.15991,0.47799,0.007497,0.24714,0.72747,-0.03378,-0.27761,0.97775,-0.049243,0.29824,0.94992,-0.080524,-0.066839,-0.001337,-0.031817,0.076078,-0.000305,-0.038934,-0.11284,-0.37532,-0.071966,0.13253,-0.37356,-0.066233,-0.12158,-0.73753,-0.029625,0.1577,-0.71696,-0.025763
30,0.00613,0.70854,-0.003496,-0.14037,0.49699,0.020226,-0.23591,0.7404,-0.022631,0.1599,0.47791,0.006594,0.24825,0.72656,-0.037744,-0.27698,0.97476,-0.055638,0.2984,0.9472,-0.085621,-0.066462,-0.001775,-0.031789,0.076541,-0.000806,-0.038524,-0.11267,-0.37814,-0.078177,0.13354,-0.37535,-0.072594,-0.12127,-0.73763,-0.03151,0.15756,-0.71835,-0.027944
31,0.006268,0.70571,-0.00654,-0.1403,0.49688,0.019339,-0.23588,0.73828,-0.027755,0.15978,0.47706,0.005604,0.24941,0.72486,-0.041858,-0.27619,0.96805,-0.063739,0.29859,0.94404,-0.091111,-0.066037,-0.002687,-0.031549,0.07706,-0.001709,-0.037976,-0.11249,-0.38138,-0.08562,0.13478,-0.37802,-0.079824,-0.12096,-0.73786,-0.03347,0.15743,-0.71991,-0.03052
32,0.006412,0.70056,-0.009927,-0.13957,0.49226,0.016852,-0.23607,0.73321,-0.033242,0.15945,0.4733,0.003263,0.25056,0.72035,-0.046515,-0.27547,0.96149,-0.071819,0.29896,0.93688,-0.097473,-0.065609,-0.005779,-0.031183,0.077823,-0.004805,-0.037268,-0.11227,-0.38504,-0.09361,0.13624,-0.3817,-0.087724,-0.12064,-0.73877,-0.036008,0.15734,-0.72171,-0.03315
33,0.006557,0.69139,-0.013887,-0.13884,0.48529,0.014054,-0.23597,0.72489,-0.039981,0.15884,0.46645,0.000331,0.25161,0.71249,-0.052221,-0.27485,0.95302,-0.081077,0.29916,0.92929,-0.10407,-0.065223,-0.012732,-0.030771,0.078762,-0.012023,-0.036327,-0.11239,-0.39074,-0.10381,0.13795,-0.38715,-0.097485,-0.12039,-0.74017,-0.038987,0.15724,-0.724,-0.036894
34,0.006697,0.68116,-0.017722,-0.1381,0.47748,0.011167,-0.23627,0.71573,-0.046618,0.15828,0.45896,-0.002368,0.25244,0.70394,-0.057958,-0.2745,0.94451,-0.09024,0.29928,0.92149,-0.11106,-0.064858,-0.020362,-0.030242,0.079691,-0.019803,-0.03536,-0.11269,-0.39681,-0.11404,0.1396,-0.39304,-0.10776,-0.12023,-0.74179,-0.042234,0.15707,-0.72648,-0.040976
35,0.006803,0.66899,-0.021777,-0.13735,0.46862,0.00805,-0.2366,0.70562,-0.053363,0.15778,0.45083,-0.005293,0.25329,0.69437,-0.064557,-0.27423,0.93409,-0.10018,0.29937,0.91296,-0.11879,-0.064511,-0.029012,-0.029703,0.080632,-0.028772,-0.03437,-0.11331,-0.40348,-0.12422,0.14109,-0.39884,-0.11823,-0.12015,-0.74352,-0.045341,0.15688,-0.72895,-0.045293
36,0.006877,0.65545,-0.025771,-0.1366,0.45614,0.004112,-0.23668,0.69266,-0.059699,0.15729,0.43946,-0.009251,0.25419,0.682,-0.07101,-0.27397,0.92273,-0.11004,0.29942,0.89664,-0.12748,-0.064091,-0.039606,-0.029101,0.081533,-0.039609,-0.033317,-0.11416,-0.41079,-0.13448,0.14252,-0.40464,-0.12903,-0.11996,-0.74548,-0.0485,0.15676,-0.73128,-0.04972
37,0.006934,0.64071,-0.029779,-0.1358,0.44228,-0.000124,-0.23681,0.67762,-0.066542,0.15699,0.4268,-0.013353,0.25505,0.66732,-0.078342,-0.2737,0.91069,-0.11991,0.2997,0.88017,-0.13587,-0.063726,-0.052155,-0.028805,0.082607,-0.052076,-0.032958,-0.11519,-0.41764,-0.14458,0.14383,-0.41118,-0.13991,-0.11977,-0.74754,-0.05169,0.15687,-0.7334,-0.054297
38,0.007066,0.62504,-0.033875,-0.13504,0.42788,-0.004277,-0.23692,0.66107,-0.072712,0.15663,0.41375,-0.017549,0.25569,0.65169,-0.085213,-0.27374,0.89699,-0.12946,0.29994,0.86349,-0.14409,-0.063726,-0.065297,-0.028805,0.083431,-0.065318,-0.032936,-0.11646,-0.42499,-0.15431,0.14499,-0.41832,-0.14984,-0.11962,-0.7495,-0.054717,0.15723,-0.73532,-0.05859
