FrameNo, head_x,head_y,head_z,left_shoulder_x,left_shoulder_y,left_shoulder_z,left_elbow_x,left_elbow_y,left_elbow_z,right_shoulder_x,right_shoulder_y,right_shoulder_z,right_elbow_x,right_elbow_y,right_elbow_z,left_hand_x,left_hand_y,left_hand_z,right_hand_x,right_hand_y,right_hand_z,left_hip_x,left_hip_y,left_hip_z,right_hip_x,right_hip_y,right_hip_z,left_knee_x,left_knee_y,left_knee_z,right_knee_x,right_knee_y,right_knee_z,left_foot_x,left_foot_y,left_foot_z,right_foot_x,right_foot_y,right_foot_z
3,-0.017889,0.7803,0.082532,-0.17717,0.58303,0.043334,-0.26615,0.82618,-0.04542,0.2045,0.56965,0.059983,0.32442,0.80646,0.003391,-0.28653,1.1019,-0.11094,0.40774,1.0321,-0.079526,-0.076106,0.00691,-0.041232,0.081514,0.000864,-0.044257,-0.11253,-0.55106,-0.031466,0.12176,-0.55025,0.011548,-0.10277,-0.92114,-0.061171,0.1426,-0.943,-0.024521
4,-0.01836,0.78021,0.082376,-0.17751,0.58279,0.043116,-0.26665,0.82601,-0.045811,0.20427,0.56968,0.060168,0.32276,0.80419,0.004158,-0.28685,1.1019,-0.11158,0.40665,1.0331,-0.079833,-0.07641,0.006693,-0.041583,0.081324,0.000877,-0.044241,-0.11268,-0.55129,-0.03186,0.12187,-0.55031,0.011093,-0.10219,-0.92262,-0.060905,0.14247,-0.94292,-0.024338
5,-0.019105,0.78029,0.08218,-0.17853,0.5823,0.043061,-0.26739,0.82616,-0.04597,0.20402,0.56975,0.060254,0.32255,0.80585,0.003911,-0.28821,1.1013,-0.1118,0.40572,1.034,-0.080082,-0.076564,0.006982,-0.04175,0.081141,0.000859,-0.044183,-0.11284,-0.55105,-0.032403,0.12186,-0.55033,0.011079,-0.10201,-0.92224,-0.060305,0.14243,-0.94193,-0.022675
6,-0.02116,0.77882,0.082012,-0.1793,0.58188,0.043086,-0.26899,0.82634,-0.046266,0.20315,0.56972,0.060426,0.32209,0.80701,0.004075,-0.29019,1.1,-0.11235,0.40461,1.0349,-0.080385,-0.077085,0.006487,-0.042126,0.080702,0.000815,-0.044257,-0.11291,-0.55156,-0.032673,0.12152,-0.55035,0.011082,-0.10201,-0.92404,-0.063295,0.14236,-0.94366,-0.023783
7,-0.021528,0.7778,0.08183,-0.1794,0.58034,0.042482,-0.26982,0.82583,-0.046581,0.20174,0.57015,0.061113,0.32111,0.80622,0.004324,-0.29047,1.0995,-0.1123,0.40338,1.0342,-0.079614,-0.07725,0.005945,-0.04241,0.080602,0.000764,-0.044361,-0.11315,-0.55182,-0.0328,0.12134,-0.55036,0.011318,-0.10205,-0.9236,-0.061838,0.14236,-0.94268,-0.022769
8,-0.02214,0.77767,0.081778,-0.17985,0.58032,0.042444,-0.27068,0.82583,-0.046653,0.20008,0.57015,0.061903,0.32023,0.80622,0.004499,-0.2911,1.0995,-0.11235,0.40228,1.0342,-0.079409,-0.077543,0.005945,-0.042695,0.080347,0.000764,-0.044327,-0.11332,-0.55182,-0.033252,0.12108,-0.55036,0.011198,-0.10204,-0.9236,-0.062005,0.14238,-0.94268,-0.022987
9,-0.022662,0.77756,0.081734,-0.18027,0.5803,0.042409,-0.27149,0.82583,-0.046721,0.19833,0.57015,0.062834,0.31947,0.80622,0.004656,-0.2916,1.0995,-0.1124,0.40117,1.0342,-0.079107,-0.077863,0.005945,-0.042952,0.080035,0.000764,-0.044282,-0.11354,-0.55182,-0.033771,0.12081,-0.55036,0.011043,-0.10201,-0.9236,-0.062298,0.1422,-0.94268,-0.023002
10,-0.023075,0.77712,0.0817,-0.18059,0.57993,0.042411,-0.27222,0.82575,-0.046772,0.19643,0.57015,0.063758,0.31873,0.80611,0.004854,-0.29186,1.0992,-0.11242,0.40012,1.0342,-0.078811,-0.078191,0.005824,-0.043197,0.079712,0.000697,-0.044223,-0.11374,-0.55197,-0.034232,0.12051,-0.55042,0.010894,-0.10205,-0.92466,-0.062607,0.14208,-0.94355,-0.023012
11,-0.023251,0.77508,0.081895,-0.18083,0.57795,0.042399,-0.27279,0.82417,-0.046573,0.1943,0.56894,0.064661,0.31798,0.80513,0.005456,-0.2919,1.0978,-0.11195,0.39911,1.0333,-0.078009,-0.078519,0.004149,-0.043407,0.079413,-0.000984,-0.044187,-0.11394,-0.5537,-0.034668,0.12015,-0.55213,0.010615,-0.10203,-0.92618,-0.062813,0.14189,-0.94525,-0.023168
12,-0.023313,0.77305,0.082117,-0.18102,0.57601,0.042405,-0.27327,0.82261,-0.046318,0.1922,0.56776,0.065588,0.31722,0.80452,0.006063,-0.29195,1.0964,-0.11132,0.39807,1.0325,-0.077029,-0.078847,0.002463,-0.043605,0.079119,-0.002672,-0.044133,-0.11413,-0.55543,-0.035064,0.11977,-0.55385,0.010378,-0.10208,-0.92764,-0.063046,0.14173,-0.94702,-0.023455
