FrameNo, head_x,head_y,head_z,left_shoulder_x,left_shoulder_y,left_shoulder_z,left_elbow_x,left_elbow_y,left_elbow_z,right_shoulder_x,right_shoulder_y,right_shoulder_z,right_elbow_x,right_elbow_y,right_elbow_z,left_hand_x,left_hand_y,left_hand_z,right_hand_x,right_hand_y,right_hand_z,left_hip_x,left_hip_y,left_hip_z,right_hip_x,right_hip_y,right_hip_z,left_knee_x,left_knee_y,left_knee_z,right_knee_x,right_knee_y,right_knee_z,left_foot_x,left_foot_y,left_foot_z,right_foot_x,right_foot_y,right_foot_z
1,-0.026309,0.72819,-0.042954,-0.19243,0.51411,-0.050582,-0.35239,0.70888,-0.11983,0.15829,0.53637,-0.067651,0.2915,0.72954,-0.15649,-0.3679,0.98038,-0.18221,0.31239,0.99134,-0.22332,-0.081122,-0.006388,-0.035278,0.072054,-0.000309,-0.033801,-0.13967,-0.49319,-0.007374,0.135,-0.50237,-0.00273,-0.19049,-0.88578,0.016843,0.16852,-0.88275,0.010455
2,-0.027834,0.72846,-0.04136,-0.1941,0.51413,-0.050468,-0.35523,0.71074,-0.12018,0.15672,0.53621,-0.066148,0.29062,0.72879,-0.15554,-0.36864,0.98171,-0.18238,0.31201,0.99355,-0.22177,-0.084312,-0.00675,-0.035998,0.06883,-0.001092,-0.033647,-0.14072,-0.49251,-0.007306,0.13166,-0.50381,-0.003093,-0.19047,-0.88577,0.016668,0.16769,-0.88446,0.010153
3,-0.032585,0.72808,-0.04055,-0.20005,0.51629,-0.050711,-0.36079,0.71347,-0.12146,0.1518,0.53834,-0.063852,0.28647,0.72936,-0.1525,-0.37382,0.97849,-0.18367,0.30985,0.99033,-0.21567,-0.09007,-0.005911,-0.03762,0.063401,-0.000903,-0.034051,-0.14267,-0.49259,-0.007151,0.12743,-0.50503,-0.004667,-0.19113,-0.8861,0.016024,0.16658,-0.88549,0.009837
4,-0.035836,0.7285,-0.039173,-0.20535,0.51736,-0.051791,-0.36355,0.71398,-0.1223,0.14927,0.53903,-0.063098,0.28437,0.72989,-0.15084,-0.37589,0.98076,-0.18424,0.30741,0.99343,-0.21324,-0.09333,-0.005131,-0.038767,0.060379,-0.000579,-0.034295,-0.14438,-0.49206,-0.007088,0.12551,-0.50453,-0.004981,-0.19141,-0.88598,0.016012,0.16636,-0.88595,0.009734
5,-0.038191,0.72912,-0.038382,-0.20742,0.51718,-0.052631,-0.36652,0.71363,-0.12289,0.14752,0.53934,-0.061741,0.28188,0.73051,-0.14953,-0.37797,0.98156,-0.18476,0.30458,0.99119,-0.21075,-0.095367,-0.0052,-0.039777,0.058636,-0.00062,-0.034406,-0.14567,-0.49217,-0.007017,0.12396,-0.50436,-0.005191,-0.19165,-0.88591,0.015626,0.16612,-0.88652,0.009092
6,-0.040265,0.72908,-0.038506,-0.21071,0.51753,-0.052448,-0.36898,0.7126,-0.12281,0.14445,0.5392,-0.060907,0.27883,0.73231,-0.14788,-0.3819,0.98358,-0.1848,0.30187,0.99278,-0.20809,-0.09891,-0.005034,-0.041327,0.055205,-0.000461,-0.036081,-0.14707,-0.49162,-0.007326,0.12286,-0.50421,-0.005647,-0.1919,-0.88609,0.015502,0.16596,-0.88623,0.008859
7,-0.045422,0.72951,-0.037865,-0.21509,0.51681,-0.051744,-0.37214,0.70999,-0.12179,0.13941,0.54061,-0.061081,0.2734,0.73444,-0.146,-0.39156,0.97139,-0.18221,0.29713,0.995,-0.20614,-0.10009,-0.005549,-0.04249,0.053811,-1.3e-05,-0.036691,-0.1479,-0.49244,-0.008503,0.12157,-0.50599,-0.006192,-0.19147,-0.88577,0.01548,0.16576,-0.8871,0.009135
8,-0.048183,0.72977,-0.037264,-0.21778,0.51681,-0.051893,-0.37458,0.70996,-0.12169,0.13669,0.54101,-0.060806,0.27049,0.73535,-0.14474,-0.39559,0.96532,-0.18176,0.2942,0.9955,-0.20425,-0.10189,-0.005549,-0.043489,0.052096,-6.4e-05,-0.037289,-0.14887,-0.49244,-0.00877,0.1205,-0.50635,-0.006508,-0.19156,-0.88577,0.015344,0.16564,-0.88741,0.009094
9,-0.05087,0.73004,-0.036635,-0.22,0.51681,-0.051982,-0.37691,0.70954,-0.12165,0.13403,0.54131,-0.060685,0.26757,0.73639,-0.14359,-0.39941,0.95882,-0.18137,0.29127,0.99608,-0.20249,-0.10337,-0.005549,-0.044406,0.050663,-9.9e-05,-0.038002,-0.14968,-0.49245,-0.009107,0.11958,-0.50668,-0.006845,-0.19165,-0.88578,0.015183,0.16554,-0.88767,0.00906
10,-0.053336,0.73028,-0.036036,-0.22201,0.51681,-0.052065,-0.37896,0.70885,-0.12154,0.13153,0.54154,-0.060647,0.26483,0.73737,-0.14254,-0.403,0.95218,-0.18092,0.28859,0.99657,-0.20097,-0.10462,-0.005549,-0.045203,0.049412,-9.9e-05,-0.038799,-0.15038,-0.49256,-0.009453,0.11882,-0.50703,-0.007196,-0.19177,-0.88579,0.015086,0.16544,-0.88808,0.009026
