FrameNo, head_x,head_y,head_z,left_shoulder_x,left_shoulder_y,left_shoulder_z,left_elbow_x,left_elbow_y,left_elbow_z,right_shoulder_x,right_shoulder_y,right_shoulder_z,right_elbow_x,right_elbow_y,right_elbow_z,left_hand_x,left_hand_y,left_hand_z,right_hand_x,right_hand_y,right_hand_z,left_hip_x,left_hip_y,left_hip_z,right_hip_x,right_hip_y,right_hip_z,left_knee_x,left_knee_y,left_knee_z,right_knee_x,right_knee_y,right_knee_z,left_foot_x,left_foot_y,left_foot_z,right_foot_x,right_foot_y,right_foot_z
0,-7.2e-05,0.78544,0.093109,-0.17644,0.58619,0.0605,-0.31457,0.82016,0.007343,0.19132,0.58271,0.076025,0.34979,0.82096,0.038144,-0.38147,1.0403,-0.039841,0.44247,1.0322,-0.015826,-0.079004,0.002042,-0.040653,0.083322,-0.002025,-0.042882,-0.11585,-0.44225,-0.071133,0.11974,-0.50022,-0.035242,-0.094933,-0.85631,-0.047304,0.12667,-0.87099,-0.032713
1,-6.8e-05,0.78542,0.093135,-0.17788,0.58738,0.062325,-0.31458,0.82007,0.007224,0.19133,0.5827,0.076029,0.34979,0.82089,0.038135,-0.39409,1.0776,-0.042676,0.43885,1.0224,-0.015644,-0.07909,0.00194,-0.040576,0.083281,-0.002045,-0.042834,-0.1161,-0.44729,-0.070123,0.11965,-0.50003,-0.035215,-0.094934,-0.85634,-0.047288,0.12577,-0.87352,-0.031628
2,-2e-05,0.78523,0.09291,-0.17783,0.58731,0.062096,-0.31473,0.82015,0.00686,0.19134,0.58271,0.076059,0.3498,0.82088,0.038131,-0.39405,1.0786,-0.042994,0.43979,1.0239,-0.016303,-0.079157,0.001767,-0.040501,0.083182,-0.001793,-0.042655,-0.11594,-0.44006,-0.071525,0.11956,-0.49986,-0.035192,-0.095065,-0.85615,-0.047395,0.12594,-0.87201,-0.032403
3,0.00013,0.78505,0.092586,-0.17802,0.58759,0.062335,-0.31485,0.81968,0.00645,0.19136,0.58271,0.076065,0.34988,0.82072,0.037758,-0.39389,1.0792,-0.043836,0.43983,1.0241,-0.017228,-0.079241,0.002177,-0.040492,0.083157,-0.00178,-0.042602,-0.11635,-0.43746,-0.072549,0.11887,-0.49631,-0.035638,-0.095379,-0.85594,-0.047354,0.126,-0.87152,-0.033112
4,0.000148,0.78505,0.092597,-0.17774,0.58729,0.061874,-0.31509,0.81984,0.006141,0.19136,0.58271,0.076091,0.34986,0.8206,0.037656,-0.39398,1.0798,-0.044072,0.4399,1.024,-0.017908,-0.079264,0.002025,-0.04031,0.083185,-0.001927,-0.042462,-0.11554,-0.44961,-0.070233,0.11886,-0.49621,-0.035691,-0.095552,-0.8551,-0.046707,0.12606,-0.87153,-0.032902
5,-0.0001,0.78488,0.092325,-0.1775,0.58701,0.06136,-0.3151,0.81982,0.005263,0.19133,0.58274,0.07605,0.34986,0.82032,0.037097,-0.39397,1.08,-0.044303,0.43988,1.0222,-0.020699,-0.079167,0.00213,-0.040243,0.083155,-0.001469,-0.042228,-0.11577,-0.45396,-0.069877,0.1189,-0.49559,-0.035981,-0.095079,-0.85868,-0.046701,0.12594,-0.87144,-0.032828
6,-0.000211,0.78487,0.092192,-0.17787,0.58733,0.061728,-0.3152,0.82,0.005109,0.19133,0.58274,0.076051,0.34989,0.82031,0.036903,-0.39381,1.0799,-0.044724,0.4409,1.0237,-0.021976,-0.079192,0.002157,-0.039972,0.083146,-0.001535,-0.042002,-0.11573,-0.45204,-0.069492,0.11881,-0.50313,-0.035528,-0.095306,-0.85878,-0.046716,0.12563,-0.87394,-0.034016
7,-0.000342,0.78496,0.09157,-0.17771,0.58725,0.061252,-0.31512,0.81985,0.004014,0.19132,0.58273,0.075996,0.34993,0.8203,0.035877,-0.39219,1.0794,-0.046837,0.44071,1.0245,-0.022825,-0.079303,0.002111,-0.039673,0.083161,-0.001883,-0.041953,-0.11608,-0.4457,-0.070423,0.11883,-0.49745,-0.035642,-0.095429,-0.85667,-0.04705,0.12586,-0.8711,-0.032338
8,-0.00036,0.78496,0.091158,-0.17771,0.58729,0.061248,-0.3151,0.81985,0.003191,0.19132,0.58274,0.075956,0.34997,0.8203,0.035189,-0.39212,1.0795,-0.04819,0.44053,1.0245,-0.024293,-0.079351,0.002127,-0.039464,0.083145,-0.001828,-0.041784,-0.11613,-0.44545,-0.070245,0.11875,-0.49682,-0.035642,-0.09557,-0.85663,-0.046955,0.1258,-0.87077,-0.03222
9,-0.00033,0.78496,0.090622,-0.17766,0.58732,0.06098,-0.31509,0.81986,0.002275,0.19133,0.58277,0.075902,0.35,0.8203,0.034439,-0.39168,1.0796,-0.049675,0.44069,1.0247,-0.025689,-0.0794,0.002145,-0.039273,0.083135,-0.001772,-0.041583,-0.11617,-0.44436,-0.070179,0.11867,-0.49621,-0.035643,-0.09571,-0.85649,-0.046861,0.12577,-0.87018,-0.032222
