FrameNo, head_x,head_y,head_z,left_shoulder_x,left_shoulder_y,left_shoulder_z,left_elbow_x,left_elbow_y,left_elbow_z,right_shoulder_x,right_shoulder_y,right_shoulder_z,right_elbow_x,right_elbow_y,right_elbow_z,left_hand_x,left_hand_y,left_hand_z,right_hand_x,right_hand_y,right_hand_z,left_hip_x,left_hip_y,left_hip_z,right_hip_x,right_hip_y,right_hip_z,left_knee_x,left_knee_y,left_knee_z,right_knee_x,right_knee_y,right_knee_z,left_foot_x,left_foot_y,left_foot_z,right_foot_x,right_foot_y,right_foot_z
14,-0.003411,0.7112,0.012418,-0.17087,0.48207,0.034466,-0.35463,0.63257,0.053151,0.1571,0.49693,0.034944,0.31498,0.67802,0.0403,-0.38797,0.83635,-0.003045,0.32788,0.91332,0.010006,-0.070466,-0.005442,-0.032142,0.072031,-0.007591,-0.035272,-0.12263,-0.40686,-0.043818,0.11702,-0.45336,-0.019453,-0.12121,-0.79027,-0.037424,0.1303,-0.79958,-0.04432
15,-0.0038,0.71129,0.013403,-0.17099,0.48207,0.034757,-0.35439,0.63257,0.053167,0.15714,0.49693,0.034947,0.31478,0.6777,0.039807,-0.38782,0.83637,-0.002994,0.3279,0.91178,0.009757,-0.070536,-0.005464,-0.032047,0.07195,-0.0076,-0.035239,-0.12268,-0.40708,-0.043665,0.11701,-0.45344,-0.019452,-0.12124,-0.79046,-0.037284,0.13005,-0.79959,-0.044401
16,-0.00419,0.7114,0.014653,-0.17109,0.48195,0.035079,-0.35428,0.6326,0.053175,0.15725,0.49639,0.035074,0.31472,0.67697,0.039483,-0.38773,0.83643,-0.002626,0.32797,0.91074,0.009642,-0.070601,-0.005951,-0.031888,0.071867,-0.008086,-0.03513,-0.12285,-0.40769,-0.043526,0.11693,-0.45405,-0.019434,-0.12124,-0.79083,-0.037134,0.1298,-0.79995,-0.044505
17,-0.004588,0.71152,0.015948,-0.17113,0.48181,0.035132,-0.35423,0.63261,0.053178,0.15737,0.49584,0.035202,0.31473,0.67625,0.03929,-0.38767,0.83648,-0.002165,0.32799,0.91157,0.009553,-0.070643,-0.006421,-0.031728,0.071799,-0.008566,-0.035013,-0.123,-0.40835,-0.043415,0.11686,-0.45469,-0.019416,-0.12126,-0.79121,-0.037018,0.12961,-0.80018,-0.044563
18,-0.004977,0.71169,0.017154,-0.17124,0.48148,0.035423,-0.35424,0.63275,0.053233,0.15749,0.49529,0.035328,0.31466,0.67563,0.039285,-0.38761,0.83768,-0.001651,0.32825,0.91148,0.009571,-0.07068,-0.006903,-0.031545,0.071729,-0.009052,-0.034877,-0.12313,-0.40901,-0.043321,0.11681,-0.45533,-0.019383,-0.12126,-0.79173,-0.037018,0.12944,-0.80061,-0.044752
19,-0.005355,0.71188,0.0183,-0.17132,0.48108,0.035672,-0.35425,0.63287,0.05336,0.15758,0.49473,0.03546,0.31459,0.675,0.039281,-0.38756,0.8374,-0.000995,0.32854,0.91226,0.00959,-0.070703,-0.007403,-0.03134,0.071682,-0.009554,-0.034694,-0.12326,-0.40967,-0.043239,0.11677,-0.45598,-0.01934,-0.12126,-0.79234,-0.037018,0.12928,-0.80099,-0.044937
20,-0.005638,0.71205,0.019293,-0.17135,0.48055,0.035786,-0.35429,0.63296,0.053551,0.15767,0.49417,0.035601,0.31458,0.67436,0.03928,-0.38756,0.83762,-0.000442,0.32887,0.91315,0.009612,-0.070717,-0.007916,-0.031133,0.071669,-0.010076,-0.034499,-0.12335,-0.41033,-0.043177,0.11673,-0.45661,-0.019293,-0.12126,-0.7929,-0.037013,0.12932,-0.80139,-0.045134
21,-0.005881,0.71216,0.020218,-0.17133,0.47992,0.03568,-0.35441,0.63301,0.053907,0.15776,0.4936,0.035746,0.31468,0.67379,0.039311,-0.38751,0.83689,5.1e-05,0.32964,0.91132,0.010017,-0.070742,-0.008439,-0.030759,0.071654,-0.010608,-0.034272,-0.12342,-0.41082,-0.043181,0.11669,-0.45715,-0.019266,-0.12127,-0.79342,-0.03703,0.12933,-0.80176,-0.045285
22,-0.006093,0.71225,0.021141,-0.17133,0.47935,0.035935,-0.35455,0.6331,0.054333,0.15786,0.49302,0.035906,0.31487,0.67333,0.039416,-0.38747,0.83669,0.000558,0.33023,0.91021,0.010491,-0.070767,-0.008962,-0.030383,0.071637,-0.011145,-0.034024,-0.12344,-0.41135,-0.043183,0.11667,-0.45769,-0.01924,-0.12134,-0.79402,-0.037044,0.12939,-0.80211,-0.045422
23,-0.006301,0.71223,0.022032,-0.17128,0.47868,0.036097,-0.35453,0.63284,0.054851,0.15795,0.49242,0.036078,0.31509,0.67302,0.039604,-0.38744,0.83669,0.001508,0.33092,0.90737,0.011359,-0.070761,-0.009507,-0.030025,0.071636,-0.011692,-0.03376,-0.12344,-0.41191,-0.043183,0.11665,-0.45828,-0.019241,-0.12155,-0.79432,-0.037246,0.12935,-0.80255,-0.04554
24,-0.006486,0.71227,0.022783,-0.17123,0.47805,0.03607,-0.3545,0.63278,0.055408,0.15802,0.49214,0.036151,0.31531,0.67299,0.039873,-0.38746,0.83676,0.002487,0.33121,0.9091,0.01234,-0.070736,-0.009827,-0.029657,0.071647,-0.011986,-0.03351,-0.12344,-0.41232,-0.043207,0.11666,-0.45859,-0.019244,-0.12166,-0.7947,-0.037664,0.12939,-0.8027,-0.045694
25,-0.006663,0.7123,0.023301,-0.17116,0.47795,0.035938,-0.35446,0.63278,0.055953,0.15803,0.49214,0.036155,0.31542,0.67299,0.040017,-0.38748,0.83686,0.003279,0.33134,0.9094,0.013295,-0.07068,-0.009841,-0.029293,0.071675,-0.011998,-0.03329,-0.12343,-0.41232,-0.043283,0.11666,-0.45859,-0.019248,-0.12165,-0.7947,-0.037839,0.1294,-0.80274,-0.045866
26,-0.006819,0.71229,0.023799,-0.17105,0.47783,0.035835,-0.35441,0.63278,0.056709,0.15803,0.49214,0.036159,0.31555,0.67299,0.040197,-0.38748,0.83757,0.004296,0.33141,0.9094,0.014346,-0.070596,-0.009857,-0.028869,0.071737,-0.012003,-0.033043,-0.12342,-0.41236,-0.043387,0.11666,-0.45859,-0.019269,-0.12163,-0.7947,-0.038089,0.1292,-0.80274,-0.04588
27,-0.006966,0.71229,0.024271,-0.17087,0.47783,0.035908,-0.35442,0.63278,0.057468,0.15803,0.49214,0.036169,0.31571,0.67299,0.040381,-0.38749,0.83834,0.005715,0.3318,0.90642,0.015209,-0.070457,-0.009857,-0.028444,0.071865,-0.012003,-0.032808,-0.12328,-0.41236,-0.043501,0.11672,-0.45859,-0.019306,-0.12162,-0.7947,-0.038317,0.12912,-0.80274,-0.045886
28,-0.007091,0.71274,0.02475,-0.17077,0.47787,0.036216,-0.35448,0.6332,0.058281,0.15803,0.49245,0.036085,0.31587,0.67363,0.040567,-0.3875,0.83903,0.007134,0.33175,0.9065,0.016002,-0.070252,-0.009685,-0.027998,0.072069,-0.011775,-0.032593,-0.12298,-0.41226,-0.043623,0.1169,-0.45832,-0.019294,-0.1214,-0.79427,-0.038519,0.12913,-0.80247,-0.045764
29,-0.007159,0.7132,0.025316,-0.17059,0.47801,0.036758,-0.35454,0.63363,0.059139,0.15803,0.49277,0.036012,0.31601,0.67419,0.040794,-0.38743,0.84037,0.00862,0.33215,0.90318,0.016936,-0.070039,-0.009522,-0.027551,0.072281,-0.011554,-0.032379,-0.12267,-0.41222,-0.043781,0.11709,-0.45806,-0.019275,-0.12117,-0.7938,-0.038726,0.12916,-0.8022,-0.04569
30,-0.007203,0.71362,0.025966,-0.17032,0.478,0.037264,-0.35458,0.63388,0.059943,0.15803,0.49308,0.035957,0.3162,0.6747,0.040946,-0.38738,0.84072,0.010022,0.33218,0.90307,0.018071,-0.069813,-0.009382,-0.027262,0.072503,-0.01134,-0.032167,-0.12236,-0.41217,-0.043957,0.11728,-0.45782,-0.019268,-0.12094,-0.79348,-0.038922,0.12922,-0.80203,-0.0457
31,-0.007253,0.71407,0.026716,-0.17002,0.47792,0.037845,-0.35457,0.63409,0.060786,0.15804,0.49339,0.035921,0.31636,0.67511,0.04113,-0.38708,0.84159,0.011823,0.33232,0.9006,0.0192,-0.069573,-0.009256,-0.026961,0.072732,-0.011172,-0.031956,-0.12203,-0.41217,-0.044157,0.11745,-0.45765,-0.019285,-0.12068,-0.79304,-0.039095,0.12928,-0.80189,-0.045773
32,-0.007306,0.71442,0.027505,-0.16967,0.47792,0.038566,-0.35456,0.63427,0.061715,0.15804,0.49369,0.035896,0.31651,0.67547,0.041369,-0.38671,0.84174,0.013214,0.33252,0.8978,0.02061,-0.069332,-0.00915,-0.026636,0.072946,-0.01101,-0.031758,-0.12171,-0.41228,-0.044375,0.11763,-0.45749,-0.019306,-0.12044,-0.79264,-0.039256,0.12932,-0.8019,-0.045839
33,-0.007334,0.71478,0.028342,-0.1692,0.4778,0.038753,-0.35447,0.6344,0.062736,0.15804,0.49399,0.035901,0.31672,0.67591,0.041699,-0.38636,0.84219,0.014848,0.33253,0.89714,0.021848,-0.069078,-0.009077,-0.026305,0.073177,-0.010862,-0.031549,-0.1214,-0.41241,-0.044561,0.1178,-0.45736,-0.019297,-0.12014,-0.7921,-0.039156,0.12936,-0.80183,-0.045846
34,-0.007344,0.71515,0.029222,-0.16862,0.47763,0.03868,-0.35437,0.63446,0.063631,0.15805,0.49429,0.035902,0.31689,0.67622,0.042103,-0.38598,0.84141,0.016425,0.3323,0.89857,0.022993,-0.068823,-0.009026,-0.026033,0.073434,-0.010727,-0.031311,-0.12111,-0.41262,-0.044729,0.11797,-0.45724,-0.019293,-0.11988,-0.79154,-0.039011,0.12948,-0.80177,-0.045847
35,-0.007304,0.71553,0.030141,-0.16805,0.47754,0.039162,-0.35433,0.63446,0.064382,0.15806,0.4946,0.035907,0.31704,0.67644,0.042533,-0.38561,0.84141,0.01791,0.33213,0.89968,0.024034,-0.068594,-0.008965,-0.02578,0.073672,-0.010586,-0.031106,-0.12076,-0.41268,-0.044884,0.11814,-0.45714,-0.019294,-0.11961,-0.79099,-0.038954,0.12957,-0.80167,-0.045833
36,-0.007239,0.71576,0.031077,-0.16756,0.47737,0.039456,-0.35433,0.63446,0.065142,0.15806,0.49461,0.035911,0.31718,0.67649,0.043046,-0.38529,0.84135,0.018957,0.33223,0.89933,0.025127,-0.068398,-0.008965,-0.025464,0.073877,-0.010586,-0.030899,-0.12051,-0.41275,-0.045052,0.11824,-0.45714,-0.019314,-0.11948,-0.79007,-0.038721,0.12967,-0.80161,-0.045815
37,-0.007137,0.71596,0.032062,-0.16707,0.47705,0.039498,-0.35433,0.63438,0.066004,0.15807,0.49463,0.035933,0.31732,0.67649,0.043634,-0.38498,0.84091,0.02029,0.33254,0.89697,0.026459,-0.068208,-0.008965,-0.025164,0.074066,-0.010584,-0.030716,-0.12027,-0.41275,-0.045195,0.11833,-0.45714,-0.019332,-0.11948,-0.79007,-0.03879,0.12977,-0.8016,-0.045828
