FrameNo, head_x,head_y,head_z,left_shoulder_x,left_shoulder_y,left_shoulder_z,left_elbow_x,left_elbow_y,left_elbow_z,right_shoulder_x,right_shoulder_y,right_shoulder_z,right_elbow_x,right_elbow_y,right_elbow_z,left_hand_x,left_hand_y,left_hand_z,right_hand_x,right_hand_y,right_hand_z,left_hip_x,left_hip_y,left_hip_z,right_hip_x,right_hip_y,right_hip_z,left_knee_x,left_knee_y,left_knee_z,right_knee_x,right_knee_y,right_knee_z,left_foot_x,left_foot_y,left_foot_z,right_foot_x,right_foot_y,right_foot_z
5,-0.004867,0.75094,0.084056,-0.17337,0.55053,0.057576,-0.24565,0.82965,-0.02357,0.1758,0.54745,0.087656,0.27924,0.79099,0.022738,-0.24036,1.1178,-0.072173,0.31575,1.0291,-0.053611,-0.076778,-0.001596,-0.036382,0.078631,-0.00162,-0.037279,-0.17793,-0.4675,-0.034414,0.15425,-0.4722,0.007527,-0.23214,-0.88299,0.015815,0.20793,-0.91602,0.023798
6,-0.004242,0.75202,0.083755,-0.17327,0.5507,0.057164,-0.24566,0.82946,-0.023881,0.17596,0.54731,0.087559,0.27947,0.79112,0.022586,-0.24003,1.1177,-0.073223,0.31724,1.0287,-0.054394,-0.076869,-0.001679,-0.036462,0.07862,-0.001805,-0.037248,-0.17781,-0.46779,-0.034211,0.15426,-0.47379,0.007891,-0.23201,-0.88215,0.015947,0.20895,-0.9173,0.026649
7,-0.004466,0.75443,0.083135,-0.17334,0.55385,0.056313,-0.24615,0.8319,-0.02543,0.17574,0.54987,0.086932,0.27953,0.79363,0.021347,-0.24081,1.1195,-0.075288,0.31721,1.0319,-0.056848,-0.076881,0.00135,-0.036449,0.078692,0.000876,-0.037349,-0.17747,-0.46461,-0.033807,0.15883,-0.49366,0.016206,-0.23093,-0.87857,0.017827,0.21235,-0.92311,0.02344
8,-0.004201,0.75609,0.082757,-0.17328,0.55535,0.055783,-0.24605,0.83294,-0.026483,0.17583,0.55109,0.086651,0.27977,0.79504,0.020815,-0.24083,1.1203,-0.07681,0.31794,1.0324,-0.057684,-0.077013,0.002353,-0.036445,0.078686,0.00202,-0.03731,-0.17735,-0.4636,-0.033348,0.15848,-0.48911,0.015164,-0.23081,-0.87765,0.017816,0.21288,-0.92161,0.023728
9,-0.00394,0.75772,0.08236,-0.17319,0.55686,0.055267,-0.24587,0.83396,-0.027544,0.17594,0.55233,0.086347,0.28002,0.7964,0.020127,-0.24087,1.121,-0.078515,0.31851,1.0329,-0.058597,-0.077219,0.003391,-0.036402,0.078683,0.003115,-0.037258,-0.17717,-0.4625,-0.032971,0.15866,-0.48805,0.015175,-0.23065,-0.87671,0.017876,0.21348,-0.92036,0.024608
10,-0.003721,0.75931,0.081928,-0.17307,0.55835,0.054767,-0.24572,0.83497,-0.028581,0.17605,0.55359,0.086004,0.28025,0.79773,0.019327,-0.24091,1.1217,-0.080437,0.31897,1.0333,-0.059671,-0.077398,0.004451,-0.036354,0.078687,0.004168,-0.037218,-0.17698,-0.46138,-0.032636,0.15842,-0.48442,0.014175,-0.23055,-0.87639,0.017882,0.21405,-0.91925,0.025041
11,-0.003464,0.7608,0.081458,-0.17294,0.55992,0.054285,-0.24555,0.83595,-0.029731,0.17618,0.55486,0.085652,0.28052,0.79901,0.018426,-0.24098,1.1224,-0.082346,0.31928,1.0337,-0.06094,-0.077566,0.005533,-0.036233,0.078706,0.005259,-0.037135,-0.17677,-0.46019,-0.032215,0.15815,-0.48086,0.013167,-0.23058,-0.87487,0.018303,0.21496,-0.91848,0.02438
12,-0.003159,0.76226,0.080905,-0.17283,0.56141,0.053825,-0.2454,0.83692,-0.030894,0.17631,0.55612,0.08525,0.28081,0.8003,0.017469,-0.24102,1.123,-0.084269,0.31952,1.0344,-0.062382,-0.077711,0.006624,-0.036124,0.07874,0.006347,-0.037041,-0.17657,-0.4589,-0.031848,0.15919,-0.48455,0.014802,-0.2305,-0.87323,0.018742,0.21565,-0.91886,0.024422
13,-0.002828,0.76367,0.080324,-0.17272,0.56285,0.053408,-0.24529,0.83788,-0.032065,0.17647,0.5574,0.084851,0.2811,0.8016,0.01639,-0.24107,1.1237,-0.086168,0.31976,1.035,-0.064008,-0.077848,0.007826,-0.035976,0.078783,0.007479,-0.036946,-0.17636,-0.45742,-0.031497,0.16022,-0.48815,0.016432,-0.23038,-0.87081,0.01948,0.21614,-0.9192,0.024284
14,-0.002458,0.76501,0.079653,-0.17261,0.56424,0.053031,-0.24517,0.83879,-0.033186,0.17664,0.55872,0.084454,0.28139,0.80291,0.015256,-0.24113,1.1243,-0.08802,0.31993,1.0357,-0.065644,-0.077968,0.009032,-0.03581,0.078825,0.008614,-0.036795,-0.17617,-0.45598,-0.031127,0.16019,-0.48831,0.016963,-0.23017,-0.86986,0.020144,0.21636,-0.91934,0.023737
15,-0.002071,0.76501,0.079219,-0.17255,0.56438,0.052945,-0.24507,0.8388,-0.033921,0.17682,0.55882,0.084292,0.28167,0.80296,0.014292,-0.24104,1.1246,-0.08953,0.32007,1.0358,-0.066869,-0.078083,0.009108,-0.035632,0.07887,0.008647,-0.036641,-0.17611,-0.45571,-0.030937,0.16105,-0.49172,0.01822,-0.23001,-0.86909,0.020533,0.21647,-0.91958,0.023745
16,-0.001703,0.76502,0.078712,-0.1725,0.56451,0.052845,-0.24494,0.8388,-0.034628,0.17699,0.55892,0.084127,0.28198,0.803,0.01331,-0.24095,1.1251,-0.091038,0.32021,1.0358,-0.06806,-0.078108,0.009161,-0.035436,0.078919,0.008679,-0.036482,-0.17607,-0.45542,-0.030782,0.16105,-0.49147,0.01822,-0.23004,-0.86852,0.020958,0.21647,-0.91931,0.023753
17,-0.001389,0.76503,0.078201,-0.17249,0.56465,0.052739,-0.24479,0.8388,-0.035124,0.17717,0.559,0.083944,0.28225,0.80304,0.012393,-0.24087,1.1251,-0.092365,0.32028,1.0359,-0.069273,-0.078122,0.009221,-0.035209,0.078981,0.008679,-0.036306,-0.17603,-0.4551,-0.030676,0.16092,-0.49147,0.018202,-0.23006,-0.86796,0.021348,0.21658,-0.91906,0.023183
18,-0.001042,0.76503,0.077765,-0.17239,0.56465,0.05271,-0.24446,0.83866,-0.035733,0.17741,0.559,0.083807,0.28254,0.803,0.011579,-0.2407,1.1246,-0.093469,0.32043,1.0358,-0.070552,-0.078132,0.009221,-0.035036,0.079044,0.008612,-0.036141,-0.17603,-0.4551,-0.030646,0.16077,-0.49147,0.018193,-0.23031,-0.86804,0.021504,0.2166,-0.91906,0.0228
19,-0.000711,0.76502,0.077333,-0.17229,0.56465,0.052681,-0.24413,0.83854,-0.036346,0.17764,0.559,0.083709,0.28283,0.80296,0.010825,-0.24054,1.1243,-0.094521,0.32055,1.0356,-0.071733,-0.078135,0.009198,-0.034873,0.079108,0.008546,-0.035978,-0.176,-0.4549,-0.030645,0.15982,-0.48794,0.016886,-0.23053,-0.86935,0.021304,0.21645,-0.91855,0.022417
20,-0.000448,0.76492,0.076949,-0.17228,0.56465,0.052659,-0.24358,0.83714,-0.036864,0.17781,0.55896,0.083626,0.28309,0.8029,0.010135,-0.24034,1.124,-0.09547,0.32069,1.0355,-0.072835,-0.078136,0.009135,-0.034777,0.079181,0.008511,-0.035858,-0.17597,-0.45466,-0.030643,0.15889,-0.48444,0.015207,-0.23075,-0.86903,0.021567,0.21606,-0.91799,0.022807
21,-0.000154,0.76443,0.076643,-0.17221,0.56436,0.052634,-0.243,0.83586,-0.037376,0.17805,0.5586,0.083583,0.28347,0.80253,0.009498,-0.24002,1.1238,-0.096323,0.321,1.0351,-0.073748,-0.078041,0.00885,-0.034655,0.079241,0.008103,-0.035744,-0.17594,-0.45443,-0.030646,0.15975,-0.48809,0.016267,-0.23104,-0.86895,0.021759,0.21579,-0.91855,0.023449
22,0.000127,0.76393,0.076334,-0.17213,0.56407,0.052594,-0.24242,0.83463,-0.037951,0.17828,0.55825,0.083551,0.28385,0.80215,0.00899,-0.23966,1.1235,-0.097382,0.3213,1.0347,-0.074522,-0.077942,0.008587,-0.034549,0.079311,0.007683,-0.035628,-0.17586,-0.4541,-0.031021,0.15976,-0.48816,0.016019,-0.23132,-0.8685,0.021904,0.2156,-0.91855,0.023771
23,0.000362,0.76342,0.076115,-0.17205,0.56366,0.052553,-0.24188,0.83344,-0.038552,0.17849,0.55787,0.083531,0.28426,0.80176,0.00855,-0.2393,1.1232,-0.098421,0.32159,1.0344,-0.075239,-0.077851,0.008278,-0.034411,0.079382,0.007287,-0.035536,-0.17577,-0.454,-0.031597,0.15981,-0.48815,0.015418,-0.23139,-0.86737,0.02198,0.21534,-0.91851,0.02437
24,0.000565,0.76294,0.075989,-0.17195,0.56324,0.052512,-0.24137,0.83233,-0.039143,0.17867,0.5575,0.083531,0.28466,0.80137,0.008289,-0.23897,1.1228,-0.099296,0.32191,1.034,-0.075807,-0.077762,0.007971,-0.034273,0.079448,0.006871,-0.035438,-0.1757,-0.45399,-0.032164,0.15931,-0.48467,0.013741,-0.23154,-0.8675,0.021972,0.21509,-0.91832,0.024439
25,0.000782,0.76246,0.075891,-0.17185,0.56283,0.05247,-0.24089,0.83124,-0.039812,0.17885,0.55709,0.083539,0.28507,0.80098,0.008059,-0.23864,1.1223,-0.10021,0.32225,1.0336,-0.076333,-0.077667,0.00766,-0.034142,0.079558,0.006476,-0.035338,-0.17564,-0.45404,-0.032737,0.15989,-0.4884,0.014099,-0.23173,-0.8681,0.02196,0.21491,-0.91881,0.024804
26,0.000994,0.76197,0.075823,-0.17174,0.5624,0.052434,-0.24044,0.83024,-0.040384,0.17901,0.55666,0.08355,0.28549,0.8006,0.007878,-0.23835,1.1219,-0.10106,0.32258,1.0333,-0.076775,-0.077576,0.00733,-0.034029,0.079653,0.006069,-0.035245,-0.17559,-0.45412,-0.033323,0.16057,-0.4925,0.014451,-0.23187,-0.86937,0.021785,0.21472,-0.91926,0.025479
27,0.00122,0.76151,0.075786,-0.17156,0.56197,0.052353,-0.24001,0.82925,-0.040985,0.17918,0.5562,0.08356,0.2859,0.8002,0.007777,-0.2381,1.1215,-0.10199,0.32291,1.0329,-0.077053,-0.077475,0.006981,-0.033918,0.079762,0.005635,-0.035124,-0.17553,-0.45423,-0.033892,0.16061,-0.49304,0.013987,-0.23201,-0.86937,0.021414,0.21465,-0.91968,0.025371
28,0.001433,0.76104,0.075746,-0.17133,0.56153,0.052268,-0.23962,0.82829,-0.041509,0.17934,0.55575,0.083575,0.28628,0.79978,0.007721,-0.23786,1.121,-0.10277,0.32326,1.0326,-0.077261,-0.077374,0.006576,-0.033792,0.07989,0.005209,-0.034965,-0.17546,-0.45436,-0.034458,0.16005,-0.48972,0.01246,-0.23199,-0.86937,0.021164,0.21446,-0.91961,0.026081
29,0.001638,0.76057,0.075731,-0.1711,0.56109,0.05218,-0.23953,0.82829,-0.042074,0.17948,0.5553,0.083611,0.28669,0.79931,0.007703,-0.23764,1.1205,-0.10358,0.32367,1.0322,-0.07741,-0.077282,0.006143,-0.033665,0.080021,0.004772,-0.0348,-0.17538,-0.45443,-0.035025,0.16117,-0.49375,0.012842,-0.23201,-0.8688,0.020997,0.21425,-0.91992,0.026924
30,0.00174,0.76049,0.075762,-0.17092,0.56104,0.052086,-0.2395,0.82828,-0.042559,0.17954,0.55527,0.08363,0.28703,0.79918,0.007724,-0.23756,1.1202,-0.10441,0.32397,1.0319,-0.077513,-0.077172,0.006051,-0.033558,0.080169,0.004711,-0.034626,-0.17529,-0.45457,-0.035534,0.16069,-0.49106,0.011395,-0.23199,-0.86796,0.020616,0.21413,-0.92006,0.026887
31,0.001834,0.76042,0.075792,-0.17074,0.56099,0.051993,-0.23947,0.82822,-0.042982,0.17958,0.55524,0.083652,0.28734,0.79904,0.007743,-0.2375,1.1199,-0.105,0.32432,1.0316,-0.077533,-0.077069,0.005955,-0.033458,0.080297,0.004643,-0.034456,-0.17527,-0.4549,-0.035653,0.16178,-0.49532,0.012241,-0.23193,-0.86755,0.020249,0.21413,-0.9208,0.026848
32,0.001932,0.76035,0.075831,-0.17053,0.56095,0.051862,-0.23944,0.82852,-0.043366,0.17962,0.5552,0.083672,0.28764,0.79891,0.007782,-0.23745,1.1199,-0.10553,0.3247,1.0313,-0.077509,-0.076944,0.00586,-0.033396,0.080423,0.00458,-0.034299,-0.17524,-0.45452,-0.035719,0.16136,-0.49231,0.011182,-0.23189,-0.86701,0.020158,0.21408,-0.92079,0.027582
33,0.002021,0.76025,0.07583,-0.17033,0.56091,0.051698,-0.23942,0.82874,-0.043735,0.17966,0.55518,0.083692,0.28795,0.79873,0.007801,-0.23739,1.1196,-0.10605,0.3252,1.0307,-0.077479,-0.076831,0.005775,-0.033343,0.080551,0.00453,-0.034132,-0.17516,-0.4536,-0.035805,0.16204,-0.49642,0.012262,-0.23172,-0.86599,0.020058,0.21426,-0.92141,0.027592
34,0.002089,0.76014,0.075835,-0.17014,0.56087,0.05171,-0.23942,0.82874,-0.043735,0.17969,0.55514,0.08371,0.28826,0.79852,0.007847,-0.23735,1.1194,-0.10604,0.32572,1.0302,-0.077448,-0.076708,0.00567,-0.033287,0.080649,0.004477,-0.03395,-0.17516,-0.45458,-0.035805,0.16272,-0.50056,0.013054,-0.23168,-0.86618,0.019768,0.21442,-0.92206,0.027603
35,0.002158,0.76005,0.075839,-0.16996,0.56084,0.051721,-0.23942,0.82874,-0.043735,0.17972,0.5551,0.08373,0.28858,0.7983,0.00793,-0.23729,1.1192,-0.10604,0.32628,1.0296,-0.077333,-0.076591,0.005562,-0.033232,0.080754,0.004382,-0.033761,-0.17512,-0.45541,-0.036354,0.16272,-0.5026,0.012968,-0.23167,-0.8666,0.019416,0.21463,-0.9226,0.026319
36,0.002218,0.75996,0.075842,-0.16983,0.5608,0.051729,-0.23942,0.82874,-0.043735,0.17974,0.55506,0.083753,0.2889,0.79806,0.008039,-0.23722,1.1191,-0.10604,0.32686,1.0289,-0.077193,-0.076593,0.005453,-0.033188,0.080806,0.004269,-0.033579,-0.17511,-0.45605,-0.036922,0.1621,-0.50078,0.011885,-0.23161,-0.86718,0.019086,0.21496,-0.92293,0.024502
37,0.002349,0.75827,0.076339,-0.16971,0.55917,0.051885,-0.23933,0.82742,-0.043702,0.17981,0.55341,0.084086,0.28929,0.79621,0.008638,-0.23698,1.1174,-0.10613,0.32756,1.0266,-0.076414,-0.0766,0.003847,-0.033079,0.080838,0.002574,-0.033401,-0.17508,-0.45738,-0.03751,0.16144,-0.49873,0.010801,-0.23165,-0.86785,0.018753,0.21526,-0.92432,0.022457
38,0.0025,0.7566,0.076955,-0.1696,0.55754,0.052057,-0.23922,0.82606,-0.043687,0.1799,0.55176,0.084483,0.28966,0.79438,0.009274,-0.23672,1.1158,-0.10634,0.32832,1.0242,-0.075606,-0.076615,0.002239,-0.032838,0.080822,0.00088,-0.033131,-0.17505,-0.45872,-0.038139,0.16141,-0.5001,0.010742,-0.23186,-0.87065,0.018181,0.21513,-0.92557,0.02255
39,0.002662,0.75492,0.077584,-0.16951,0.5559,0.052293,-0.23912,0.82464,-0.043626,0.18,0.55012,0.084885,0.28998,0.79255,0.009855,-0.23644,1.1142,-0.10652,0.32903,1.022,-0.074924,-0.076628,0.000623,-0.032521,0.080804,-0.000817,-0.032845,-0.17504,-0.46041,-0.038798,0.16139,-0.50135,0.010535,-0.23199,-0.87256,0.017494,0.21509,-0.9269,0.022633
40,0.002825,0.75324,0.07821,-0.16943,0.55428,0.05254,-0.23902,0.8232,-0.043567,0.18008,0.54848,0.08528,0.29031,0.79073,0.010441,-0.23614,1.1126,-0.1067,0.32973,1.0197,-0.074294,-0.076661,-0.000971,-0.032196,0.080785,-0.002513,-0.032533,-0.17511,-0.46219,-0.039468,0.16055,-0.49953,0.009223,-0.23207,-0.87454,0.016828,0.2151,-0.92848,0.020599
41,0.002974,0.75157,0.078818,-0.16938,0.55267,0.052795,-0.2389,0.82169,-0.043452,0.18016,0.54683,0.085673,0.29062,0.7889,0.010998,-0.23583,1.111,-0.10685,0.33043,1.0175,-0.073726,-0.076708,-0.002585,-0.031804,0.080759,-0.004202,-0.032173,-0.17517,-0.46394,-0.040174,0.15971,-0.49787,0.007877,-0.2321,-0.87653,0.016105,0.21521,-0.92902,0.020769
