FrameNo, head_x,head_y,head_z,left_shoulder_x,left_shoulder_y,left_shoulder_z,left_elbow_x,left_elbow_y,left_elbow_z,right_shoulder_x,right_shoulder_y,right_shoulder_z,right_elbow_x,right_elbow_y,right_elbow_z,left_hand_x,left_hand_y,left_hand_z,right_hand_x,right_hand_y,right_hand_z,left_hip_x,left_hip_y,left_hip_z,right_hip_x,right_hip_y,right_hip_z,left_knee_x,left_knee_y,left_knee_z,right_knee_x,right_knee_y,right_knee_z,left_foot_x,left_foot_y,left_foot_z,right_foot_x,right_foot_y,right_foot_z
0,-0.042362,0.7204,0.006424,-0.18535,0.51598,0.014459,-0.27292,0.76608,-0.065053,0.11928,0.54214,-0.018637,0.15711,0.82071,-0.12332,-0.28856,1.0322,-0.15792,0.16501,1.0509,-0.19507,-0.064071,-0.004526,-0.03445,0.057855,0.002303,-0.031291,-0.11953,-0.3638,-0.039141,0.11838,-0.35445,-0.031022,-0.16354,-0.86423,-0.002095,0.17922,-0.85484,-0.019842
1,-0.042253,0.72023,0.006878,-0.18534,0.51557,0.014477,-0.27283,0.76597,-0.06515,0.11929,0.54186,-0.018193,0.15765,0.82036,-0.12291,-0.2879,1.0318,-0.16056,0.16362,1.1057,-0.20184,-0.064229,-0.004398,-0.033893,0.057601,0.002319,-0.030184,-0.11976,-0.36366,-0.038583,0.11818,-0.35451,-0.030671,-0.16376,-0.86417,-0.002312,0.17797,-0.855,-0.018894
2,-0.042307,0.72018,0.007003,-0.1855,0.516,0.014656,-0.27273,0.76567,-0.065795,0.1193,0.5417,-0.017857,0.15825,0.81994,-0.12311,-0.28741,1.0303,-0.16392,0.16432,1.066,-0.1988,-0.064311,-0.004388,-0.033453,0.057506,0.002142,-0.029297,-0.11988,-0.36367,-0.038413,0.11841,-0.35472,-0.030695,-0.16198,-0.86437,-0.002399,0.17871,-0.85516,-0.019241
3,-0.042553,0.72052,0.007199,-0.18545,0.51547,0.014448,-0.27235,0.76479,-0.066521,0.11929,0.54162,-0.017709,0.15866,0.81976,-0.1231,-0.28672,1.0295,-0.16853,0.16439,1.0651,-0.19834,-0.064374,-0.005273,-0.031922,0.057666,0.001654,-0.027577,-0.11959,-0.36388,-0.030263,0.11871,-0.3553,-0.030273,-0.15979,-0.86554,-0.003026,0.17765,-0.85597,-0.019973
4,-0.042554,0.72054,0.007217,-0.18536,0.5152,0.014297,-0.27193,0.76435,-0.068611,0.11929,0.54157,-0.017477,0.15923,0.81949,-0.1233,-0.2863,1.0285,-0.17169,0.16496,1.062,-0.19808,-0.064161,-0.005214,-0.030447,0.057443,0.001031,-0.025542,-0.11959,-0.36392,-0.029958,0.11583,-0.35642,-0.02855,-0.15898,-0.86555,-0.001639,0.19698,-0.96814,-0.010686
5,-0.042544,0.72052,0.007189,-0.18526,0.51502,0.014084,-0.27173,0.76357,-0.070643,0.11931,0.54169,-0.017364,0.15975,0.81927,-0.124,-0.28595,1.0284,-0.17517,0.16578,1.0553,-0.19835,-0.064228,-0.005529,-0.02896,0.057692,0.00049,-0.024376,-0.12001,-0.36439,-0.03048,0.11842,-0.35681,-0.030246,-0.16092,-0.86577,-0.000704,0.17861,-0.85725,-0.018755
6,-0.04252,0.72055,0.006992,-0.18515,0.51436,0.013509,-0.27146,0.76254,-0.073506,0.11931,0.54163,-0.017361,0.16026,0.81893,-0.12463,-0.28541,1.0265,-0.17824,0.16599,1.0541,-0.19878,-0.063695,-0.006423,-0.026975,0.057726,-0.000231,-0.022828,-0.12014,-0.36534,-0.030223,0.11627,-0.35832,-0.033337,-0.157,-0.86677,0.002317,0.1967,-0.96885,-0.007479
7,-0.041827,0.7192,0.003964,-0.1848,0.51327,0.01265,-0.27081,0.76046,-0.078304,0.11927,0.54093,-0.018557,0.16212,0.81614,-0.12773,-0.28374,1.0224,-0.18305,0.16482,1.0516,-0.20116,-0.063604,-0.00735,-0.023814,0.057259,-0.000784,-0.022246,-0.12017,-0.3665,-0.033145,0.11577,-0.35907,-0.037226,-0.16384,-0.86787,-0.001912,0.18678,-0.90841,-0.014598
8,-0.041571,0.71833,0.002476,-0.1846,0.5125,0.011988,-0.27036,0.7587,-0.081721,0.11928,0.54067,-0.018941,0.16314,0.815,-0.12956,-0.28274,1.0194,-0.187,0.1647,1.0496,-0.20245,-0.063577,-0.008031,-0.021591,0.057169,-0.001376,-0.021268,-0.12025,-0.36735,-0.033138,0.11531,-0.35998,-0.039378,-0.16406,-0.8686,-0.001887,0.18867,-0.92079,-0.014234
9,-0.041191,0.71675,0.000386,-0.18435,0.5115,0.011153,-0.26991,0.75648,-0.085335,0.11928,0.54036,-0.019593,0.1641,0.81357,-0.13172,-0.28167,1.0159,-0.19101,0.16463,1.046,-0.20379,-0.063525,-0.009175,-0.019109,0.057112,-0.002309,-0.020233,-0.12042,-0.36866,-0.033288,0.11492,-0.36118,-0.042299,-0.1644,-0.86973,-0.001913,0.1904,-0.93286,-0.013908
10,-0.040768,0.71452,-0.002278,-0.18406,0.51042,0.01024,-0.26937,0.75347,-0.089246,0.11921,0.53998,-0.020456,0.16525,0.81164,-0.13483,-0.28052,1.0121,-0.19523,0.16452,1.0425,-0.20587,-0.063417,-0.010654,-0.016494,0.057046,-0.003471,-0.019275,-0.12078,-0.37024,-0.034628,0.11444,-0.36254,-0.047412,-0.16615,-0.8796,-0.001833,0.19121,-0.94419,-0.013554
11,-0.040245,0.71154,-0.005441,-0.18376,0.50915,0.009163,-0.26876,0.74966,-0.093305,0.1191,0.53891,-0.021859,0.16641,0.80897,-0.13807,-0.2792,1.008,-0.19956,0.16435,1.0388,-0.20834,-0.063354,-0.0125,-0.01383,0.056983,-0.005,-0.018332,-0.12134,-0.37214,-0.037059,0.114,-0.36414,-0.052293,-0.168,-0.88937,-0.00185,0.19124,-0.95065,-0.013234
12,-0.039692,0.70761,-0.009073,-0.18346,0.5077,0.007988,-0.26811,0.74537,-0.097358,0.11896,0.53705,-0.023624,0.16754,0.80576,-0.1416,-0.27776,1.0036,-0.20363,0.16409,1.0349,-0.21106,-0.063316,-0.014696,-0.011203,0.056988,-0.006989,-0.017448,-0.12208,-0.37431,-0.039705,0.11389,-0.3662,-0.056914,-0.16951,-0.89899,-0.002061,0.19036,-0.9473,-0.013754
