FrameNo, head_x,head_y,head_z,left_shoulder_x,left_shoulder_y,left_shoulder_z,left_elbow_x,left_elbow_y,left_elbow_z,right_shoulder_x,right_shoulder_y,right_shoulder_z,right_elbow_x,right_elbow_y,right_elbow_z,left_hand_x,left_hand_y,left_hand_z,right_hand_x,right_hand_y,right_hand_z,left_hip_x,left_hip_y,left_hip_z,right_hip_x,right_hip_y,right_hip_z,left_knee_x,left_knee_y,left_knee_z,right_knee_x,right_knee_y,right_knee_z,left_foot_x,left_foot_y,left_foot_z,right_foot_x,right_foot_y,right_foot_z
1,-0.024877,0.61845,0.019029,-0.16447,0.43356,0.006922,-0.23067,0.67829,-0.044056,0.16087,0.44847,0.054539,0.24147,0.63029,0.003358,-0.26756,0.924,-0.038964,0.3004,0.89747,0.000393,-0.058104,-0.00104,-0.026912,0.065356,-0.005584,-0.030049,-0.10216,-0.44227,-0.065299,0.11319,-0.44589,-0.026405,-0.13345,-0.90953,-0.12074,0.16584,-0.95618,-0.036349
2,-0.024966,0.61701,0.02021,-0.164,0.43318,0.006508,-0.23075,0.67838,-0.043997,0.16074,0.44854,0.054659,0.2415,0.63035,0.003788,-0.26752,0.92397,-0.038971,0.2998,0.89765,0.001377,-0.058075,-0.001008,-0.026779,0.065389,-0.005546,-0.030035,-0.10212,-0.44224,-0.065331,0.1132,-0.44586,-0.026448,-0.1337,-0.90954,-0.12004,0.16596,-0.95612,-0.036249
3,-0.025069,0.61614,0.021078,-0.16358,0.43328,0.006277,-0.23087,0.67856,-0.043857,0.16065,0.44861,0.054857,0.2415,0.63047,0.004411,-0.26758,0.92399,-0.038745,0.29912,0.89789,0.002535,-0.05808,-0.00094,-0.026408,0.065405,-0.005554,-0.030013,-0.10212,-0.44217,-0.065311,0.11319,-0.44586,-0.026304,-0.13359,-0.90949,-0.11986,0.16564,-0.95798,-0.038009
4,-0.025245,0.61618,0.021176,-0.16421,0.43336,0.006876,-0.23098,0.67871,-0.043739,0.16046,0.44876,0.055165,0.24151,0.63056,0.004869,-0.2677,0.92433,-0.038214,0.29823,0.89812,0.004446,-0.058138,-0.000808,-0.025886,0.065351,-0.005496,-0.029923,-0.1021,-0.44204,-0.064995,0.11319,-0.4458,-0.026271,-0.13357,-0.90934,-0.11981,0.16556,-0.95775,-0.038023
5,-0.025284,0.61543,0.021712,-0.16488,0.43365,0.007521,-0.231,0.67873,-0.04371,0.16039,0.44888,0.055232,0.24136,0.63082,0.005508,-0.26774,0.92431,-0.038073,0.29784,0.89841,0.005714,-0.058094,-0.000814,-0.026022,0.065397,-0.005534,-0.029492,-0.10209,-0.44205,-0.064983,0.11356,-0.44582,-0.026106,-0.1335,-0.90936,-0.11972,0.16579,-0.95563,-0.036304
6,-0.02526,0.61487,0.022206,-0.16527,0.43359,0.007861,-0.23104,0.67868,-0.043665,0.16026,0.44911,0.055386,0.24571,0.62893,0.004995,-0.26787,0.92434,-0.037944,0.29788,0.89733,0.00643,-0.058071,-0.000804,-0.026078,0.065457,-0.005631,-0.029034,-0.102,-0.44204,-0.065004,0.11364,-0.44595,-0.02609,-0.13351,-0.90935,-0.11977,0.16584,-0.95549,-0.036232
7,-0.025218,0.61601,0.021928,-0.16484,0.43325,0.007909,-0.23091,0.67863,-0.043337,0.16016,0.44916,0.055557,0.24186,0.63108,0.007594,-0.26784,0.92401,-0.038093,0.29802,0.89877,0.007859,-0.058353,-0.000873,-0.02528,0.065395,-0.005608,-0.029156,-0.10197,-0.44212,-0.064761,0.11357,-0.44592,-0.026101,-0.13359,-0.90938,-0.12001,0.16567,-0.95508,-0.036829
8,-0.025245,0.61587,0.022101,-0.16488,0.43313,0.008162,-0.23085,0.67863,-0.043007,0.16013,0.44916,0.055732,0.24195,0.63108,0.008451,-0.26786,0.92397,-0.037941,0.29785,0.89877,0.008934,-0.058408,-0.000873,-0.025016,0.065412,-0.005634,-0.028964,-0.10197,-0.44212,-0.064704,0.11356,-0.44595,-0.026071,-0.1336,-0.90938,-0.12001,0.16564,-0.95511,-0.037034
9,-0.025256,0.61577,0.022267,-0.16485,0.43296,0.008445,-0.23065,0.67863,-0.04267,0.16011,0.44916,0.055894,0.24205,0.63107,0.009306,-0.26788,0.9239,-0.037798,0.29779,0.89877,0.009833,-0.05845,-0.000873,-0.024786,0.065433,-0.005703,-0.0287,-0.10198,-0.44212,-0.064649,0.11356,-0.44602,-0.026043,-0.13362,-0.90938,-0.12001,0.16562,-0.95528,-0.037234
10,-0.025266,0.61563,0.022399,-0.16484,0.43277,0.008623,-0.2292,0.6725,-0.042141,0.16008,0.44916,0.056067,0.24218,0.63092,0.010121,-0.26735,0.92035,-0.03762,0.2978,0.89873,0.010603,-0.058497,-0.000878,-0.024562,0.065446,-0.005795,-0.028408,-0.10199,-0.44213,-0.06458,0.11356,-0.44612,-0.026017,-0.13363,-0.90938,-0.12004,0.16556,-0.95549,-0.037456
11,-0.025216,0.61504,0.022737,-0.16476,0.43211,0.008765,-0.2285,0.67229,-0.0412,0.16005,0.44859,0.056473,0.24228,0.63043,0.011127,-0.26689,0.92039,-0.037298,0.29783,0.89826,0.011654,-0.058564,-0.001553,-0.024277,0.065444,-0.00659,-0.028053,-0.10205,-0.44278,-0.064515,0.11354,-0.44694,-0.025987,-0.13384,-0.90998,-0.12027,0.16538,-0.95591,-0.037515
12,-0.02519,0.61448,0.023164,-0.16458,0.43146,0.008885,-0.22778,0.67205,-0.040256,0.16003,0.448,0.05686,0.24242,0.62993,0.01188,-0.26639,0.92039,-0.036944,0.29798,0.89775,0.012483,-0.058605,-0.002249,-0.024064,0.065442,-0.0074,-0.027675,-0.10202,-0.44345,-0.064459,0.11352,-0.44776,-0.025956,-0.13405,-0.91061,-0.12052,0.16523,-0.95639,-0.037576
