FrameNo, head_x,head_y,head_z,left_shoulder_x,left_shoulder_y,left_shoulder_z,left_elbow_x,left_elbow_y,left_elbow_z,right_shoulder_x,right_shoulder_y,right_shoulder_z,right_elbow_x,right_elbow_y,right_elbow_z,left_hand_x,left_hand_y,left_hand_z,right_hand_x,right_hand_y,right_hand_z,left_hip_x,left_hip_y,left_hip_z,right_hip_x,right_hip_y,right_hip_z,left_knee_x,left_knee_y,left_knee_z,right_knee_x,right_knee_y,right_knee_z,left_foot_x,left_foot_y,left_foot_z,right_foot_x,right_foot_y,right_foot_z
24,0.008144,0.76031,0.030119,-0.13919,0.54389,0.023436,-0.21731,0.79955,-0.021122,0.14818,0.51929,0.030306,0.23037,0.78028,0.001017,-0.22604,1.0428,-0.067236,0.25092,1.0348,-0.048518,-0.070009,0.050379,-0.03337,0.07429,0.04208,-0.029789,-0.12268,-0.36655,-0.051741,0.1167,-0.40568,-0.023433,-0.13421,-0.75178,-0.051584,0.13416,-0.76186,-0.055733
25,0.008299,0.76031,0.030129,-0.13866,0.54455,0.023642,-0.21326,0.80258,-0.017133,0.14806,0.5196,0.030615,0.22887,0.78131,0.004111,-0.22172,1.0457,-0.062204,0.24971,1.0377,-0.042505,-0.07003,0.051557,-0.033371,0.074243,0.043111,-0.029905,-0.12263,-0.36644,-0.051781,0.11665,-0.40546,-0.02351,-0.1342,-0.75194,-0.051671,0.13417,-0.76199,-0.055847
26,0.008523,0.76031,0.030144,-0.13808,0.54532,0.023832,-0.20963,0.80534,-0.014014,0.14804,0.51975,0.030934,0.22849,0.78197,0.005517,-0.21808,1.048,-0.058381,0.2486,1.041,-0.03812,-0.070034,0.052812,-0.033322,0.074191,0.044212,-0.030051,-0.12258,-0.36636,-0.051824,0.11661,-0.4053,-0.023585,-0.1342,-0.75194,-0.051666,0.13418,-0.76219,-0.055981
27,0.008776,0.76014,0.030184,-0.13711,0.54686,0.024379,-0.20617,0.80611,-0.011328,0.14802,0.52034,0.031213,0.2277,0.78272,0.006849,-0.21441,1.0501,-0.05452,0.2466,1.0442,-0.034091,-0.070092,0.054308,-0.033263,0.074023,0.045567,-0.030204,-0.12247,-0.36626,-0.051869,0.11658,-0.4049,-0.023607,-0.1341,-0.75206,-0.051658,0.1343,-0.76253,-0.056155
28,0.009096,0.75986,0.030285,-0.13619,0.54847,0.02493,-0.20308,0.80811,-0.00912,0.14801,0.52069,0.031398,0.22673,0.78355,0.007503,-0.21103,1.0519,-0.051428,0.24446,1.0466,-0.031106,-0.07014,0.055577,-0.033204,0.073804,0.046758,-0.030325,-0.12236,-0.36619,-0.051911,0.11656,-0.40448,-0.023625,-0.13401,-0.75198,-0.051544,0.13446,-0.76284,-0.056317
29,0.009454,0.75945,0.030409,-0.13526,0.55027,0.025432,-0.20013,0.8099,-0.007993,0.14792,0.52135,0.031479,0.22471,0.78646,0.007993,-0.20769,1.0535,-0.048683,0.24213,1.0493,-0.028533,-0.070222,0.056805,-0.033135,0.073569,0.04788,-0.030446,-0.12226,-0.36604,-0.051958,0.11653,-0.40396,-0.023646,-0.13392,-0.75201,-0.051433,0.13462,-0.76295,-0.056509
30,0.009732,0.759,0.030568,-0.13414,0.55202,0.025887,-0.19653,0.8114,-0.00702,0.1472,0.52216,0.031451,0.22254,0.78912,0.008489,-0.20346,1.0578,-0.045799,0.23942,1.0523,-0.026265,-0.070228,0.058345,-0.033061,0.073238,0.049361,-0.030608,-0.12217,-0.36588,-0.052008,0.11646,-0.40298,-0.023686,-0.13395,-0.75239,-0.051571,0.13474,-0.76312,-0.056632
31,0.00991,0.75854,0.030762,-0.13302,0.55375,0.026334,-0.19414,0.81306,-0.006755,0.14654,0.52304,0.031592,0.2203,0.79177,0.008912,-0.1993,1.0628,-0.043145,0.23613,1.0555,-0.024135,-0.0702,0.059922,-0.032988,0.072859,0.050865,-0.030725,-0.12208,-0.36569,-0.052061,0.11637,-0.40198,-0.023784,-0.13398,-0.75282,-0.051784,0.13483,-0.76331,-0.056739
32,0.009895,0.75802,0.031004,-0.13188,0.55557,0.026765,-0.19074,0.81584,-0.006372,0.14595,0.52406,0.03192,0.21761,0.79427,0.009269,-0.19536,1.0678,-0.040677,0.23248,1.0588,-0.022314,-0.070182,0.062605,-0.032016,0.072175,0.053472,-0.03077,-0.122,-0.36555,-0.052139,0.11615,-0.39962,-0.024032,-0.13389,-0.75328,-0.051974,0.13493,-0.7635,-0.056866
33,0.009875,0.75738,0.031295,-0.13083,0.55732,0.027183,-0.18743,0.81847,-0.006038,0.14537,0.52511,0.032262,0.21328,0.79685,0.009377,-0.19124,1.0729,-0.038432,0.22809,1.0623,-0.020903,-0.070205,0.065614,-0.031007,0.071461,0.056394,-0.030816,-0.12191,-0.36541,-0.052226,0.1159,-0.39686,-0.02436,-0.13377,-0.75386,-0.052133,0.13502,-0.76363,-0.05704
34,0.00986,0.75681,0.031526,-0.12973,0.55897,0.027564,-0.18382,0.82291,-0.006353,0.14454,0.52622,0.032322,0.20887,0.79961,0.009089,-0.18702,1.0781,-0.036368,0.22311,1.0657,-0.019498,-0.069936,0.070547,-0.029968,0.070662,0.061505,-0.030869,-0.12168,-0.36418,-0.052337,0.11538,-0.39192,-0.024815,-0.13372,-0.75435,-0.052415,0.13512,-0.76376,-0.05722
35,0.009838,0.75627,0.031611,-0.12868,0.56056,0.028051,-0.18026,0.82735,-0.00664,0.1437,0.52816,0.032346,0.20448,0.80285,0.008801,-0.18253,1.0831,-0.034601,0.21739,1.07,-0.018283,-0.069492,0.075933,-0.028954,0.069847,0.067076,-0.030828,-0.12139,-0.36244,-0.052477,0.11483,-0.38648,-0.025314,-0.13365,-0.75485,-0.052817,0.1352,-0.76389,-0.057382
36,0.009822,0.75595,0.03161,-0.12811,0.56129,0.028282,-0.17659,0.83142,-0.007069,0.143,0.52985,0.032404,0.20026,0.80583,0.008525,-0.17774,1.0881,-0.033382,0.21231,1.0746,-0.017611,-0.068918,0.081232,-0.027967,0.069149,0.072544,-0.030708,-0.12113,-0.36042,-0.052674,0.11425,-0.38116,-0.025771,-0.13359,-0.75542,-0.053238,0.1352,-0.76394,-0.057463
37,0.009846,0.75564,0.031611,-0.12759,0.56197,0.028572,-0.17284,0.83366,-0.006823,0.1423,0.53198,0.03249,0.19462,0.80925,0.008085,-0.17281,1.093,-0.032433,0.20703,1.0789,-0.017447,-0.068295,0.086527,-0.027488,0.0685,0.078005,-0.030559,-0.12087,-0.35838,-0.052919,0.11366,-0.37585,-0.026186,-0.13356,-0.75596,-0.053745,0.13522,-0.76403,-0.057498
38,0.009811,0.7554,0.031609,-0.12712,0.56538,0.028612,-0.16925,0.84006,-0.007437,0.14169,0.53429,0.032664,0.19002,0.81158,0.007692,-0.16781,1.0979,-0.031706,0.20136,1.0824,-0.017468,-0.067659,0.092123,-0.027062,0.067802,0.083672,-0.030213,-0.12057,-0.35591,-0.053179,0.11301,-0.37034,-0.02655,-0.13348,-0.756,-0.053863,0.13527,-0.76409,-0.057614
39,0.009829,0.7554,0.031479,-0.12686,0.56865,0.028378,-0.16637,0.84652,-0.007952,0.14129,0.53652,0.032337,0.18521,0.81436,0.007054,-0.16364,1.1,-0.031433,0.19557,1.0863,-0.017847,-0.066951,0.097729,-0.026782,0.067193,0.089304,-0.029782,-0.12021,-0.35278,-0.053461,0.11237,-0.36491,-0.026822,-0.13351,-0.75594,-0.053609,0.13525,-0.76403,-0.057616
40,0.009797,0.7554,0.031262,-0.12585,0.57289,0.028347,-0.1636,0.85314,-0.008486,0.14106,0.53887,0.032013,0.18045,0.81734,0.006314,-0.15936,1.1014,-0.031153,0.18988,1.0896,-0.018219,-0.066087,0.10341,-0.02673,0.066639,0.094885,-0.029065,-0.11985,-0.34947,-0.053789,0.11174,-0.35953,-0.027032,-0.13353,-0.75572,-0.053487,0.13521,-0.76394,-0.0576
41,0.009705,0.75551,0.030955,-0.12475,0.57718,0.028344,-0.16174,0.85712,-0.008663,0.14101,0.54115,0.031804,0.17592,0.82038,0.005416,-0.15508,1.1028,-0.030873,0.18444,1.0923,-0.018576,-0.065174,0.10795,-0.026615,0.066384,0.099296,-0.028223,-0.11947,-0.34608,-0.05409,0.11124,-0.35539,-0.027088,-0.13351,-0.75545,-0.053333,0.1352,-0.76381,-0.057549
42,0.009654,0.75587,0.030286,-0.12338,0.58199,0.02768,-0.15977,0.86184,-0.009278,0.14111,0.54358,0.031779,0.17301,0.82354,0.004277,-0.15093,1.1047,-0.031317,0.17978,1.0944,-0.019161,-0.064304,0.11301,-0.026471,0.066146,0.10421,-0.027267,-0.11909,-0.34182,-0.054364,0.1107,-0.35077,-0.027122,-0.13348,-0.75468,-0.053059,0.13494,-0.76294,-0.057256
43,0.009703,0.75628,0.029527,-0.122,0.58737,0.026937,-0.15761,0.86652,-0.010189,0.14113,0.54688,0.031744,0.17023,0.82707,0.002921,-0.14693,1.1064,-0.031988,0.1756,1.0977,-0.02006,-0.063828,0.1161,-0.02641,0.06599,0.10682,-0.026338,-0.11886,-0.33872,-0.054605,0.11045,-0.34829,-0.027139,-0.13349,-0.75386,-0.052933,0.1347,-0.76203,-0.056989
44,0.00975,0.75675,0.028703,-0.12062,0.59262,0.026171,-0.15565,0.87119,-0.011024,0.14113,0.54955,0.031744,0.16754,0.83039,0.001402,-0.14342,1.108,-0.032777,0.17247,1.0991,-0.021148,-0.063473,0.11878,-0.027059,0.06585,0.10903,-0.025524,-0.11869,-0.33605,-0.054775,0.11021,-0.34618,-0.027155,-0.13349,-0.75279,-0.052862,0.13447,-0.76125,-0.056728
45,0.009808,0.75726,0.027818,-0.11924,0.59779,0.025369,-0.1539,0.87633,-0.012075,0.14093,0.55045,0.031731,0.16517,0.83193,-0.000147,-0.14061,1.1094,-0.033765,0.17006,1.0992,-0.022736,-0.063268,0.12126,-0.027716,0.065709,0.11108,-0.024824,-0.11857,-0.33359,-0.054887,0.10999,-0.34422,-0.027141,-0.13345,-0.7513,-0.051972,0.13427,-0.76035,-0.056536
46,0.00986,0.75783,0.026838,-0.11781,0.6029,0.024504,-0.15233,0.88142,-0.013981,0.14066,0.55131,0.031598,0.16458,0.83333,-0.001242,-0.1384,1.1105,-0.035006,0.1682,1.1009,-0.024921,-0.06308,0.1237,-0.028323,0.065527,0.11311,-0.024184,-0.11844,-0.33117,-0.054955,0.10977,-0.34227,-0.027021,-0.13344,-0.74973,-0.051111,0.13419,-0.75941,-0.056423
47,0.010081,0.75839,0.025905,-0.11632,0.60476,0.023571,-0.15091,0.88325,-0.015733,0.14037,0.55214,0.031139,0.16413,0.83486,-0.002382,-0.13684,1.1114,-0.036336,0.16718,1.1009,-0.027272,-0.062927,0.12571,-0.028953,0.065411,0.11485,-0.023784,-0.11837,-0.32918,-0.054999,0.10961,-0.34059,-0.02683,-0.13345,-0.7484,-0.050775,0.13413,-0.7585,-0.05633
48,0.010272,0.75898,0.025036,-0.11492,0.60674,0.022927,-0.14989,0.88509,-0.017542,0.14012,0.55276,0.030461,0.1642,0.83598,-0.003487,-0.13586,1.112,-0.037788,0.16677,1.1004,-0.029935,-0.062826,0.12727,-0.029514,0.065299,0.11617,-0.023549,-0.11835,-0.32761,-0.055016,0.10948,-0.3393,-0.026706,-0.13347,-0.74732,-0.050736,0.1341,-0.75759,-0.056115
49,0.010412,0.75956,0.024235,-0.11432,0.60796,0.022249,-0.14909,0.88658,-0.019322,0.14009,0.55366,0.029856,0.16428,0.83675,-0.004623,-0.13537,1.1125,-0.03937,0.16687,1.0992,-0.032308,-0.062823,0.12868,-0.029548,0.065213,0.11749,-0.023555,-0.11834,-0.32621,-0.055022,0.10936,-0.33803,-0.026592,-0.13347,-0.74657,-0.050813,0.13403,-0.7568,-0.055971
50,0.010469,0.76015,0.023566,-0.11389,0.60915,0.021465,-0.14849,0.88798,-0.021055,0.14007,0.55454,0.029245,0.16435,0.83752,-0.005746,-0.13519,1.1128,-0.040961,0.16695,1.1002,-0.034505,-0.062823,0.12991,-0.029548,0.065177,0.11868,-0.023557,-0.11833,-0.32499,-0.055027,0.10925,-0.33685,-0.026525,-0.1335,-0.74587,-0.050704,0.13398,-0.75604,-0.05589
51,0.010488,0.76015,0.023277,-0.11363,0.60971,0.021103,-0.14817,0.88829,-0.022268,0.14021,0.55553,0.028833,0.16477,0.83838,-0.006494,-0.13512,1.1128,-0.042024,0.16707,1.0983,-0.036366,-0.062823,0.1303,-0.029548,0.065131,0.11907,-0.02356,-0.11833,-0.32462,-0.055032,0.10919,-0.33646,-0.026529,-0.13351,-0.74567,-0.050698,0.13395,-0.75598,-0.055891
52,0.010498,0.76015,0.023121,-0.11346,0.60984,0.020951,-0.14812,0.88829,-0.02298,0.14024,0.5561,0.028548,0.16542,0.83888,-0.007203,-0.13507,1.1128,-0.042755,0.16703,1.1002,-0.03746,-0.062857,0.13033,-0.02955,0.064992,0.11917,-0.023677,-0.11835,-0.32462,-0.055004,0.10915,-0.33633,-0.026532,-0.13352,-0.74567,-0.050699,0.13394,-0.75598,-0.055892
