FrameNo, head_x,head_y,head_z,left_shoulder_x,left_shoulder_y,left_shoulder_z,left_elbow_x,left_elbow_y,left_elbow_z,right_shoulder_x,right_shoulder_y,right_shoulder_z,right_elbow_x,right_elbow_y,right_elbow_z,left_hand_x,left_hand_y,left_hand_z,right_hand_x,right_hand_y,right_hand_z,left_hip_x,left_hip_y,left_hip_z,right_hip_x,right_hip_y,right_hip_z,left_knee_x,left_knee_y,left_knee_z,right_knee_x,right_knee_y,right_knee_z,left_foot_x,left_foot_y,left_foot_z,right_foot_x,right_foot_y,right_foot_z
5,0.020595,0.75894,0.080979,-0.14519,0.60991,0.042761,-0.20835,0.85849,-0.022843,0.19721,0.5864,0.057596,0.28753,0.78877,0.034768,-0.20844,1.0786,-0.051635,0.33126,1.0233,0.022112,-0.073518,0.002871,-0.037448,0.077734,-0.001854,-0.03842,-0.13675,-0.58823,-0.059947,0.15321,-0.60118,-0.049784,-0.14508,-0.96855,-0.047431,0.18968,-0.97205,-0.06922
6,0.020077,0.7577,0.081273,-0.14515,0.61012,0.042844,-0.20868,0.8562,-0.022238,0.19701,0.58632,0.057662,0.28748,0.78862,0.034865,-0.20888,1.0763,-0.051544,0.33121,1.0233,0.022115,-0.073642,0.00334,-0.036852,0.077729,-0.000966,-0.039012,-0.1368,-0.58796,-0.059964,0.15309,-0.60029,-0.049851,-0.14437,-0.96866,-0.047386,0.21315,-1.0175,-0.13839
7,0.020747,0.75666,0.081655,-0.14448,0.60831,0.043298,-0.20799,0.85484,-0.021771,0.19737,0.5846,0.05797,0.28763,0.78702,0.035369,-0.20782,1.0749,-0.050869,0.33182,1.0212,0.022358,-0.073709,0.001256,-0.0372,0.077853,-0.003677,-0.038288,-0.13685,-0.59231,-0.059207,0.15302,-0.60305,-0.050048,-0.14549,-0.971,-0.047784,0.20089,-1.0032,-0.11199
8,0.020989,0.75534,0.082175,-0.14421,0.60722,0.043635,-0.2079,0.85305,-0.021373,0.19743,0.58305,0.058273,0.2877,0.78548,0.035812,-0.20792,1.0731,-0.050645,0.33219,1.0203,0.022702,-0.073721,0.0003,-0.037034,0.077839,-0.004697,-0.037981,-0.13687,-0.59277,-0.059421,0.15282,-0.60411,-0.050081,-0.14571,-0.9716,-0.048012,0.19987,-1.0056,-0.11464
9,0.021232,0.75401,0.082628,-0.14396,0.60611,0.043946,-0.20778,0.85127,-0.02104,0.19749,0.58152,0.058576,0.28779,0.78393,0.036228,-0.20801,1.0713,-0.050472,0.33258,1.0193,0.022989,-0.07379,-0.000928,-0.037037,0.077802,-0.005922,-0.037655,-0.1368,-0.59307,-0.059613,0.15263,-0.60536,-0.050131,-0.1459,-0.97203,-0.048185,0.19921,-1.0085,-0.11621
10,0.021495,0.75266,0.083087,-0.14372,0.60501,0.044267,-0.20762,0.84947,-0.020636,0.19754,0.57998,0.058872,0.2879,0.78237,0.036639,-0.2081,1.0695,-0.050267,0.33297,1.0181,0.023277,-0.073869,-0.002196,-0.036994,0.077765,-0.007203,-0.037444,-0.1368,-0.59382,-0.059627,0.15245,-0.60665,-0.050162,-0.14624,-0.97258,-0.048422,0.19784,-1.0085,-0.11667
11,0.021761,0.75136,0.083514,-0.14352,0.60393,0.044575,-0.20746,0.84793,-0.020343,0.19759,0.57845,0.059168,0.28802,0.78082,0.037042,-0.20823,1.068,-0.050098,0.33338,1.0169,0.023543,-0.073976,-0.003459,-0.036879,0.077691,-0.008493,-0.037235,-0.13684,-0.59516,-0.059541,0.15227,-0.60795,-0.050191,-0.14658,-0.97399,-0.048686,0.19785,-1.0099,-0.11677
12,0.022032,0.75003,0.083933,-0.14335,0.6029,0.044847,-0.20728,0.8463,-0.020076,0.19762,0.57694,0.059459,0.28815,0.77927,0.037409,-0.20831,1.0664,-0.04988,0.3338,1.0157,0.0238,-0.074087,-0.004603,-0.036809,0.077574,-0.009669,-0.037107,-0.13688,-0.59635,-0.059512,0.15208,-0.60912,-0.050223,-0.14694,-0.97541,-0.048949,0.19677,-1.0103,-0.11505
13,0.022307,0.74868,0.084356,-0.14323,0.6019,0.045097,-0.2071,0.84483,-0.019868,0.19766,0.57543,0.059747,0.28829,0.77771,0.037767,-0.20835,1.0649,-0.049702,0.33422,1.0143,0.024043,-0.074182,-0.005833,-0.03667,0.07748,-0.010857,-0.036997,-0.13688,-0.59854,-0.059223,0.15188,-0.6103,-0.050267,-0.1473,-0.97682,-0.049194,0.19684,-1.0123,-0.11486
14,0.022634,0.74732,0.084745,-0.14312,0.60095,0.045344,-0.20691,0.84335,-0.0197,0.19773,0.57393,0.060033,0.28844,0.77618,0.038104,-0.20838,1.0634,-0.049622,0.33465,1.013,0.024263,-0.074276,-0.007041,-0.036622,0.077395,-0.012053,-0.036899,-0.13681,-0.59975,-0.059219,0.1517,-0.61149,-0.050317,-0.14767,-0.97823,-0.049409,0.19675,-1.0124,-0.11302
