FrameNo, head_x,head_y,head_z,left_shoulder_x,left_shoulder_y,left_shoulder_z,left_elbow_x,left_elbow_y,left_elbow_z,right_shoulder_x,right_shoulder_y,right_shoulder_z,right_elbow_x,right_elbow_y,right_elbow_z,left_hand_x,left_hand_y,left_hand_z,right_hand_x,right_hand_y,right_hand_z,left_hip_x,left_hip_y,left_hip_z,right_hip_x,right_hip_y,right_hip_z,left_knee_x,left_knee_y,left_knee_z,right_knee_x,right_knee_y,right_knee_z,left_foot_x,left_foot_y,left_foot_z,right_foot_x,right_foot_y,right_foot_z
5,0.014118,0.77053,0.084554,-0.15016,0.61418,0.071192,-0.25082,0.80593,-0.007077,0.17848,0.60282,0.038439,0.2762,0.80311,0.004241,-0.27224,1.0445,-0.054743,0.32711,1.0455,-0.022393,-0.081018,0.015517,-0.041564,0.076636,0.011641,-0.040042,-0.16394,-0.5695,-0.047505,0.15569,-0.58313,-0.062187,-0.19084,-0.94082,-0.010406,0.21425,-0.9933,-0.13773
6,0.014102,0.77131,0.084507,-0.15016,0.61413,0.07112,-0.25111,0.80578,-0.007004,0.17852,0.60354,0.0387,0.27646,0.80368,0.003983,-0.27265,1.0441,-0.054998,0.32717,1.0457,-0.022549,-0.081346,0.015657,-0.041509,0.076611,0.011638,-0.040176,-0.16394,-0.57826,-0.044632,0.15553,-0.58313,-0.061769,-0.19103,-0.93994,-0.009884,0.21191,-0.99558,-0.11594
7,0.013902,0.77116,0.083956,-0.15027,0.61402,0.070935,-0.25169,0.80496,-0.007636,0.17853,0.60327,0.038602,0.27619,0.80349,0.003706,-0.27326,1.0427,-0.05549,0.32706,1.0453,-0.022517,-0.081195,0.015423,-0.041857,0.076656,0.011491,-0.040692,-0.16313,-0.57442,-0.048483,0.15496,-0.58335,-0.062146,-0.19092,-0.94231,-0.009959,0.2164,-0.99675,-0.14038
8,0.013746,0.7713,0.0837,-0.15033,0.61402,0.070753,-0.25201,0.80496,-0.007885,0.17851,0.60348,0.03859,0.27616,0.8037,0.003478,-0.27382,1.0427,-0.055843,0.32705,1.0456,-0.022744,-0.081262,0.015446,-0.041983,0.076663,0.011522,-0.040879,-0.16301,-0.57413,-0.048392,0.15491,-0.58332,-0.062144,-0.19092,-0.94231,-0.009959,0.21644,-0.99646,-0.13989
9,0.013693,0.7713,0.083631,-0.15033,0.61402,0.070665,-0.2523,0.80496,-0.007982,0.17849,0.60348,0.038564,0.27613,0.8037,0.003377,-0.2743,1.0427,-0.056017,0.32686,1.0458,-0.022735,-0.081315,0.015446,-0.042112,0.076675,0.011522,-0.041068,-0.16295,-0.57413,-0.048336,0.15485,-0.58332,-0.06214,-0.19103,-0.94231,-0.009953,0.21617,-0.99646,-0.13889
10,0.013654,0.77126,0.083581,-0.15033,0.61394,0.07062,-0.25258,0.80473,-0.00803,0.17849,0.60348,0.038565,0.27611,0.8037,0.003338,-0.27472,1.0424,-0.056117,0.32664,1.0458,-0.022724,-0.08137,0.015379,-0.042237,0.076689,0.011507,-0.041255,-0.16278,-0.5752,-0.048345,0.15465,-0.58336,-0.062216,-0.19115,-0.94243,-0.01018,0.2155,-0.99694,-0.13815
11,0.013571,0.77119,0.083585,-0.15033,0.61387,0.07058,-0.25283,0.80451,-0.008031,0.17845,0.60348,0.038543,0.27606,0.8037,0.00334,-0.27512,1.042,-0.056189,0.32641,1.0465,-0.022767,-0.081405,0.015296,-0.042364,0.076707,0.011469,-0.041435,-0.16266,-0.57627,-0.04839,0.15445,-0.58342,-0.062284,-0.19115,-0.94298,-0.010393,0.21488,-0.99717,-0.13737
12,0.013493,0.77094,0.083589,-0.15034,0.61341,0.070555,-0.25306,0.80395,-0.00802,0.17838,0.60308,0.038485,0.27599,0.8033,0.003344,-0.27547,1.0414,-0.056173,0.32613,1.0471,-0.022774,-0.081452,0.01482,-0.042476,0.076722,0.010951,-0.041558,-0.16258,-0.57736,-0.048458,0.15437,-0.58396,-0.062379,-0.19094,-0.94373,-0.010404,0.2145,-0.99748,-0.13668
13,0.013413,0.77073,0.083593,-0.15034,0.61294,0.070547,-0.25324,0.80342,-0.008011,0.17833,0.60262,0.038455,0.27592,0.80285,0.003347,-0.27578,1.0408,-0.056159,0.32584,1.047,-0.022837,-0.081501,0.014335,-0.042603,0.076741,0.01043,-0.041633,-0.16255,-0.57842,-0.048534,0.15424,-0.5845,-0.062492,-0.19079,-0.9445,-0.010403,0.21427,-0.99795,-0.13651
14,0.013338,0.77044,0.083699,-0.15035,0.61248,0.070546,-0.25337,0.80292,-0.008005,0.17825,0.60207,0.038408,0.27581,0.80232,0.00336,-0.27603,1.0402,-0.056147,0.32564,1.048,-0.022819,-0.081545,0.013844,-0.042718,0.076763,0.009893,-0.041699,-0.16256,-0.57845,-0.048585,0.15411,-0.58505,-0.062552,-0.19061,-0.94537,-0.010457,0.21444,-0.99839,-0.13686
15,0.013262,0.77017,0.083912,-0.15036,0.61201,0.070546,-0.2535,0.80245,-0.007911,0.17818,0.6016,0.038413,0.27573,0.80188,0.003413,-0.27623,1.0396,-0.056137,0.32565,1.0491,-0.022784,-0.081619,0.013361,-0.042832,0.076785,0.009396,-0.041746,-0.16269,-0.57886,-0.048412,0.15402,-0.58556,-0.062607,-0.19041,-0.94622,-0.01049,0.21466,-0.99868,-0.13708
16,0.013168,0.76991,0.084187,-0.15036,0.61155,0.070547,-0.25363,0.80196,-0.007772,0.17809,0.6011,0.038392,0.27564,0.80139,0.003557,-0.27638,1.0391,-0.056084,0.32562,1.0504,-0.022795,-0.081686,0.012864,-0.0429,0.076807,0.008862,-0.041765,-0.1628,-0.57956,-0.048222,0.15398,-0.5861,-0.062652,-0.19043,-0.94622,-0.010829,0.21414,-0.99896,-0.13658
17,0.013068,0.76959,0.084499,-0.15036,0.61108,0.070579,-0.25375,0.80149,-0.007553,0.17796,0.60045,0.038326,0.2755,0.80079,0.003738,-0.27654,1.0385,-0.055926,0.32557,1.0516,-0.022747,-0.081761,0.012372,-0.04295,0.07682,0.008321,-0.041783,-0.1629,-0.58007,-0.047991,0.15398,-0.58662,-0.062695,-0.19044,-0.94622,-0.011167,0.21413,-0.99927,-0.13683
18,0.012972,0.76926,0.084849,-0.15035,0.61064,0.070637,-0.25387,0.80103,-0.007268,0.17776,0.59974,0.038251,0.27534,0.80012,0.003899,-0.2767,1.038,-0.055719,0.32552,1.0527,-0.022684,-0.081832,0.011885,-0.042997,0.076839,0.007773,-0.041802,-0.16301,-0.58006,-0.048023,0.15391,-0.58717,-0.062753,-0.19046,-0.94622,-0.011449,0.214,-0.99951,-0.13704
19,0.012898,0.76885,0.085195,-0.15034,0.61019,0.070719,-0.254,0.80057,-0.006956,0.17757,0.599,0.038216,0.27519,0.79937,0.004109,-0.27687,1.0375,-0.055472,0.32546,1.0535,-0.022627,-0.081883,0.011394,-0.043022,0.076851,0.007229,-0.041808,-0.16317,-0.58004,-0.047925,0.15389,-0.5877,-0.062774,-0.19072,-0.94603,-0.011616,0.21387,-0.99962,-0.1372
20,0.012834,0.76841,0.085557,-0.15035,0.60974,0.070803,-0.25412,0.80011,-0.006644,0.17743,0.5983,0.038223,0.27509,0.79867,0.00435,-0.27703,1.0371,-0.055221,0.32553,1.0539,-0.022568,-0.081955,0.010915,-0.043018,0.076851,0.006701,-0.041801,-0.16338,-0.57997,-0.047844,0.15387,-0.58822,-0.062773,-0.19079,-0.94614,-0.011816,0.21362,-0.9995,-0.13705
21,0.012769,0.76833,0.08582,-0.15035,0.60967,0.070824,-0.25425,0.80002,-0.00646,0.17739,0.59827,0.038226,0.27506,0.79865,0.004508,-0.27718,1.0369,-0.055083,0.32564,1.0539,-0.022574,-0.082024,0.010853,-0.043015,0.076841,0.006638,-0.041801,-0.16358,-0.57978,-0.047664,0.15385,-0.58827,-0.062811,-0.19081,-0.94627,-0.011948,0.21362,-0.9994,-0.13705
22,0.012708,0.76824,0.08609,-0.15034,0.60959,0.070848,-0.25437,0.79992,-0.006291,0.17735,0.59821,0.038245,0.27505,0.79858,0.004639,-0.27733,1.0368,-0.055008,0.32578,1.0539,-0.022581,-0.082075,0.010791,-0.043012,0.076833,0.006578,-0.0418,-0.16376,-0.57978,-0.047544,0.15384,-0.58832,-0.062881,-0.19066,-0.94647,-0.012015,0.21347,-0.99955,-0.13704
23,0.012631,0.76816,0.086286,-0.15034,0.60951,0.070886,-0.25451,0.79983,-0.006135,0.17722,0.59804,0.038276,0.27493,0.79841,0.004739,-0.27747,1.0367,-0.054903,0.32565,1.0526,-0.022574,-0.082183,0.010735,-0.042975,0.076814,0.006525,-0.041713,-0.16392,-0.58009,-0.047536,0.15388,-0.58839,-0.063007,-0.19065,-0.94684,-0.012156,0.21347,-0.99973,-0.13704
24,0.012525,0.76809,0.086473,-0.15039,0.60943,0.070927,-0.25465,0.79972,-0.006051,0.17718,0.59786,0.038379,0.27489,0.79825,0.004741,-0.27766,1.0366,-0.054893,0.32572,1.0514,-0.022727,-0.082273,0.010681,-0.042862,0.076766,0.006469,-0.041639,-0.16401,-0.58018,-0.047531,0.15396,-0.58846,-0.063068,-0.19043,-0.94695,-0.012197,0.21373,-0.99987,-0.1377
25,0.012457,0.76802,0.086532,-0.15045,0.60935,0.070969,-0.2548,0.79961,-0.006044,0.17714,0.59764,0.038544,0.27489,0.79804,0.004741,-0.27783,1.0365,-0.054885,0.32588,1.0502,-0.022926,-0.082359,0.010632,-0.042697,0.07674,0.006414,-0.041553,-0.16421,-0.57976,-0.047612,0.15405,-0.58852,-0.06314,-0.19039,-0.94708,-0.012267,0.21407,-0.99987,-0.13865
26,0.012393,0.76757,0.086535,-0.15059,0.60884,0.071058,-0.25505,0.79906,-0.006031,0.17714,0.59726,0.038731,0.2749,0.79763,0.00474,-0.2781,1.0359,-0.054871,0.326,1.0489,-0.023195,-0.082452,0.010184,-0.042524,0.076749,0.005997,-0.041469,-0.16443,-0.57925,-0.047679,0.15415,-0.58894,-0.063382,-0.19033,-0.94726,-0.012371,0.21435,-1.0004,-0.13954
27,0.012296,0.76694,0.08654,-0.15073,0.60832,0.071095,-0.25532,0.79847,-0.006018,0.17717,0.59689,0.038934,0.27496,0.79724,0.004651,-0.27829,1.0353,-0.054933,0.32615,1.0496,-0.023676,-0.082511,0.009711,-0.042259,0.076766,0.005566,-0.041254,-0.1646,-0.57895,-0.047787,0.15416,-0.58938,-0.063826,-0.19044,-0.94728,-0.012712,0.21433,-1.0006,-0.13994
28,0.012216,0.76623,0.086544,-0.15088,0.60781,0.071102,-0.25559,0.79778,-0.006228,0.17725,0.59658,0.039051,0.27511,0.79685,0.004158,-0.2784,1.0344,-0.055598,0.32627,1.049,-0.025033,-0.082515,0.00925,-0.041983,0.076782,0.005136,-0.041011,-0.1647,-0.5787,-0.048126,0.1542,-0.58983,-0.064434,-0.19059,-0.94716,-0.013052,0.21431,-1.001,-0.14037
29,0.012211,0.76536,0.086427,-0.15102,0.60728,0.071109,-0.2559,0.79697,-0.006687,0.17725,0.5961,0.039071,0.27528,0.79619,0.00338,-0.27846,1.0334,-0.056672,0.32628,1.0463,-0.026944,-0.082555,0.008755,-0.041607,0.076796,0.004673,-0.040723,-0.16481,-0.57851,-0.048619,0.15426,-0.59032,-0.065586,-0.19085,-0.94688,-0.013361,0.21438,-1.0013,-0.14103
30,0.012191,0.76412,0.086036,-0.15117,0.60667,0.071117,-0.25596,0.79589,-0.00776,0.17717,0.5956,0.039032,0.27561,0.79539,0.001942,-0.27855,1.0321,-0.058639,0.32607,1.0433,-0.031147,-0.082566,0.008145,-0.041105,0.076834,0.004168,-0.040422,-0.16495,-0.57811,-0.049613,0.15427,-0.59086,-0.06704,-0.19108,-0.94681,-0.013729,0.21439,-1.0016,-0.14158
31,0.012176,0.7628,0.085513,-0.15132,0.60601,0.071108,-0.25604,0.79457,-0.009318,0.17714,0.59504,0.039008,0.27604,0.7943,-0.000211,-0.27869,1.0303,-0.061376,0.32591,1.0383,-0.036466,-0.082527,0.007305,-0.040334,0.076933,0.003409,-0.039904,-0.16508,-0.57761,-0.050899,0.15435,-0.59169,-0.068767,-0.1911,-0.94719,-0.014018,0.21437,-1.0016,-0.14186
